Category,Year,Dollar Sales UD
Concealer,2000,483035055.4
Concealer,2010,262849461.9
Concealer,2012,612137536.1
Concealer,2018,796118478.2
Concealer,2023,621032846.6
Concealer,2017,553184238
Concealer,2002,712771554.3
Concealer,2005,598613989.1
Concealer,2009,856046443.1
Concealer,2002,934529180.2
Concealer,2019,746171626.9
Concealer,2007,828298084.3
Concealer,2008,330892545.3
Concealer,2005,110505470.5
Concealer,2024,964126931.3
Concealer,2011,11276559.6
Concealer,2001,155904553.7
Concealer,2020,238516962.4
Concealer,2023,183107197.8
Concealer,2015,333847809.4
Concealer,2013,99020278.32
Concealer,2001,438402614.4
Concealer,2004,961136604.1
Concealer,2015,460917486.6
Concealer,2014,238688543.7
Concealer,2004,948227506.9
Concealer,2000,429941928.4
Concealer,2017,910573403.5
Concealer,2006,845188079.2
Concealer,2009,596690646.3
Concealer,2011,784216155.4
Concealer,2007,478668234.7
Concealer,2013,79739715.1
Concealer,2005,900978334.5
Concealer,2009,412994191.6
Concealer,2003,269002053.7
Concealer,2011,231541204
Concealer,2012,619411246.3
Concealer,2017,492456488.2
Concealer,2011,46935038.4
Concealer,2008,849835758.5
Concealer,2014,535471339.5
Concealer,2000,473719259.3
Concealer,2008,877758210.8
Concealer,2001,344539553.1
Concealer,2011,313160739.1
Concealer,2006,664648658.4
Concealer,2001,667670114.1
Concealer,2002,376828158.7
Concealer,2017,564424326.5
Concealer,2006,674273663.9
Concealer,2010,598917901.8
Concealer,2016,807275031.4
Concealer,2003,888863845.3
Concealer,2009,472278877.8
Concealer,2016,808668353.6
Concealer,2021,941176586.9
Concealer,2017,822784844.5
Concealer,2011,83221159.92
Concealer,2016,752614672.3
Concealer,2020,386261590.4
Concealer,2006,630428366.8
Concealer,2023,349691409.2
Concealer,2006,544761460.3
Concealer,2003,742642506.6
Concealer,2021,767025148.6
Concealer,2008,384001043.9
Concealer,2004,475934684.7
Concealer,2021,597489020.7
Concealer,2010,434694049.4
Concealer,2013,468705336.9
Concealer,2003,109006566.1
Concealer,2009,541818921.2
Concealer,2019,135782724.1
Concealer,2000,437693077.9
Concealer,2006,415838044.3
Concealer,2023,495570955.2
Concealer,2018,488415248.2
Concealer,2014,791635709.6
Concealer,2011,704984313.4
Concealer,2016,640184718.3
Concealer,2006,970964623.2
Concealer,2017,754797695.3
Concealer,2020,918441736.7
Concealer,2001,316850556.7
Concealer,2001,213826514.9
Concealer,2009,316580013.5
Concealer,2007,762845215.2
Concealer,2019,744851933.9
Concealer,2003,379525720.6
Concealer,2001,839446065.4
Concealer,2017,784131135.7
Concealer,2017,538248998.6
Concealer,2002,590124519.4
Concealer,2000,614790874.6
Concealer,2015,243697458.1
Concealer,2017,785200805.5
Concealer,2018,465414664.2
Concealer,2020,11567368.49
Concealer,2009,351648910.9
Concealer,2008,455791022.3
Concealer,2001,767455691.5
Concealer,2015,573255613.3
Concealer,2019,257310301.7
Concealer,2007,499665541.8
Concealer,2003,216793206.3
Concealer,2009,293797148.6
Concealer,2014,586124493.4
Concealer,2012,501449007.6
Concealer,2000,666100175.5
Concealer,2021,732007279.8
Concealer,2000,525776167.1
Concealer,2006,957684446.4
Concealer,2008,41003500.14
Concealer,2022,986660375.7
Concealer,2023,527499519
Concealer,2020,872818266.8
Concealer,2005,682806839.9
Concealer,2008,794477694.2
Concealer,2009,688372805
Concealer,2008,246543211.5
Concealer,2013,248441289.2
Concealer,2010,902826227.4
Concealer,2014,425770584.1
Concealer,2018,115710716.1
Concealer,2003,541148435.9
Concealer,2012,651269704
Concealer,2013,160930419.8
Concealer,2010,514971152.6
Concealer,2023,415634222.4
Concealer,2018,394389276.6
Concealer,2008,186333787.8
Concealer,2021,461441723.5
Concealer,2011,656174910.3
Concealer,2022,476469146.5
Concealer,2001,831215091
Concealer,2013,496038556.2
Concealer,2020,630869252.8
Concealer,2013,835970098.1
Concealer,2022,84408859.15
Concealer,2008,418350603.6
Concealer,2012,92371809.94
Concealer,2015,400546604.9
Concealer,2022,934409602.1
Concealer,2018,567596437.9
Concealer,2004,537513739.9
Concealer,2008,529278309.1
Concealer,2022,325044735.5
Concealer,2012,906887314.6
Concealer,2001,95978130.7
Concealer,2013,634497564.1
Concealer,2002,906362234.9
Concealer,2024,225094466.5
Concealer,2003,215970920.9
Concealer,2020,371796004.5
Concealer,2009,895287536.4
Concealer,2005,546846518.1
Concealer,2002,344368504
Concealer,2015,978392953.1
Concealer,2003,88797781.53
Concealer,2001,133972017.7
Concealer,2016,764606475.3
Concealer,2002,829350143.1
Concealer,2009,725785154.6
Concealer,2015,16127769.25
Concealer,2010,122540153.9
Concealer,2024,119885037.3
Concealer,2006,761716474
Concealer,2009,601434942.6
Concealer,2001,107374425.1
Concealer,2018,644687544.3
Concealer,2002,815207437.8
Concealer,2020,351784350.8
Concealer,2022,259595171.9
Concealer,2005,871761492.8
Concealer,2019,955309316.6
Concealer,2002,62005748.03
Concealer,2019,257672469.6
Concealer,2017,607810692.4
Concealer,2009,103573432.4
Concealer,2005,245031081.4
Concealer,2012,251559588.2
Concealer,2016,781477999.8
Concealer,2020,975405502
Concealer,2018,198581364
Concealer,2013,536404196.2
Concealer,2017,630350658
Concealer,2005,684452694.6
Concealer,2017,479060119.1
Concealer,2016,15381370.16
Concealer,2008,865133398.8
Concealer,2015,601379550.2
Concealer,2016,413412491.6
Concealer,2016,905297284
Concealer,2003,115688951.8
Concealer,2006,412989392.1
Concealer,2013,817796680.7
Concealer,2008,423796090.9
Concealer,2008,975060711.5
Concealer,2011,709122028.3
Concealer,2007,42054073.58
Concealer,2013,625960456.6
Concealer,2008,23902844.76
Concealer,2006,939415931.9
Concealer,2005,684644170.1
Concealer,2013,489088010.5
Concealer,2015,213162657.5
Concealer,2021,706726392.7
Concealer,2009,684247911.6
Concealer,2024,783865291.3
Concealer,2009,395991344.7
Concealer,2022,934337367.2
Concealer,2010,835328078.4
Concealer,2020,496754181.2
Concealer,2002,969481374.7
Concealer,2020,945844594.5
Concealer,2000,183528497.2
Concealer,2001,143092073.9
Concealer,2001,451002558
Concealer,2006,724118836.6
Concealer,2019,179408167.7
Concealer,2016,786915953.9
Concealer,2008,202690892.2
Concealer,2021,115588193.4
Concealer,2000,297147987.5
Concealer,2019,231603575.1
Concealer,2015,736024636.7
Concealer,2000,282840385.8
Concealer,2004,668433636.5
Concealer,2010,110792456.4
Concealer,2013,761289871.9
Concealer,2018,842358560.4
Concealer,2011,359168024.6
Concealer,2001,348060452.8
Concealer,2008,650413871.1
Concealer,2018,546636930.1
Concealer,2022,738520672.5
Concealer,2019,318762834.2
Concealer,2020,934781455.1
Concealer,2013,221140504.1
Concealer,2006,604404129.8
Concealer,2015,562117837.9
Concealer,2014,375103910.2
Concealer,2008,417411115.5
Concealer,2008,496244352.2
Concealer,2017,211993456.3
Concealer,2016,198734565.8
Concealer,2018,33075706.35
Concealer,2020,920210272.2
Concealer,2010,579833895.5
Concealer,2001,922233135.5
Concealer,2015,481965753
Concealer,2004,424094517.5
Concealer,2004,586541649.5
Concealer,2006,769617565.2
Concealer,2005,380922357
Concealer,2013,506044543.2
Concealer,2010,168180509.1
Concealer,2011,779463908.1
Concealer,2016,907787093.3
Concealer,2004,463180437.4
Concealer,2016,155768357.4
Concealer,2005,734136302.4
Concealer,2019,654864244.8
Concealer,2008,284474993.5
Concealer,2008,761663155.3
Concealer,2001,102704375.6
Concealer,2000,537968878.7
Concealer,2014,173049827.1
Concealer,2007,921442012.3
Concealer,2017,243425127
Concealer,2014,953236902.9
Concealer,2012,662966692.4
Concealer,2004,204430470.3
Concealer,2020,890866294.2
Concealer,2009,76614285.02
Concealer,2019,996681044.4
Concealer,2002,847376468.2
Concealer,2012,720069112.7
Concealer,2015,628607463.9
Concealer,2005,622229148.1
Concealer,2020,425010306.2
Concealer,2006,511108460.7
Concealer,2022,604018821.5
Concealer,2003,177254705
Concealer,2015,981022162.5
Concealer,2017,172130966.1
Concealer,2024,179651512.7
Concealer,2002,167697121.8
Concealer,2022,765535901
Concealer,2008,904805423.8
Concealer,2010,17706837.02
Concealer,2002,927113321.3
Concealer,2001,644811002.8
Concealer,2008,709457479.4
Concealer,2005,972245389.4
Concealer,2016,870471267.2
Concealer,2013,472358548.3
Concealer,2002,537797541.2
Concealer,2013,870900920
Concealer,2009,267092018.2
Concealer,2014,910226597.2
Concealer,2000,761303715.6
Concealer,2021,984504330.1
Concealer,2016,428416390.4
Concealer,2017,15270001.5
Concealer,2011,645518031.7
Concealer,2004,347535940.6
Concealer,2023,162107545.6
Concealer,2024,428484810.6
Concealer,2015,182785368.4
Concealer,2002,418740044.6
Concealer,2017,890138273.4
Concealer,2014,399244022
Concealer,2000,238271821.6
Concealer,2018,122034987.3
Concealer,2003,606919998.5
Concealer,2018,190387178.6
Concealer,2008,878849050.8
Concealer,2005,470740804.2
Concealer,2001,722847156.1
Concealer,2005,931260024.3
Concealer,2017,863421144.4
Concealer,2023,89144775.47
Concealer,2012,177157879
Concealer,2017,432968216.4
Concealer,2014,430144686.4
Concealer,2014,743484291.1
Concealer,2019,676552137.5
Concealer,2022,540871835
Concealer,2021,564664653.9
Concealer,2015,370927559.5
Concealer,2007,517518915.9
Concealer,2001,953424792.1
Concealer,2020,247505741.7
Concealer,2020,964938494.4
Concealer,2006,927086587.1
Concealer,2001,981173799.6
Concealer,2011,211738763.8
Concealer,2000,988540975.7
Concealer,2024,442585502.1
Concealer,2010,121053624
Concealer,2009,366104928.4
Concealer,2004,772897711.8
Concealer,2018,489669791.3
Concealer,2002,841109380.5
Concealer,2021,797443275.1
Concealer,2021,82866894.76
Concealer,2001,770197409.8
Concealer,2019,456754234.2
Concealer,2000,705606542.9
Concealer,2018,495636883.5
Concealer,2021,188218798.4
Concealer,2016,249494211.1
Concealer,2013,894884673
Concealer,2009,77494597.14
Concealer,2005,211849971
Concealer,2018,860461684.4
Concealer,2008,205032869.8
Concealer,2023,568332005
Concealer,2010,33933856.56
Concealer,2023,744522024.7
Concealer,2009,863565701.5
Concealer,2005,795785438.5
Concealer,2012,563609131.7
Concealer,2024,810892267
Contour,2023,192327678.9
Contour,2002,41674572.11
Contour,2005,64774198.98
Contour,2010,612816964.6
Contour,2013,341458101
Contour,2008,659280850.9
Contour,2010,715162459.8
Contour,2001,217984049
Contour,2020,602696899.2
Contour,2017,801223123.3
Contour,2012,624085213.4
Contour,2022,516042584.7
Contour,2007,746084430.9
Contour,2021,264594227.3
Contour,2000,411274069.7
Contour,2014,313336667.4
Contour,2014,753074678.6
Contour,2001,268007151.5
Contour,2018,887208308.5
Contour,2004,491138800.4
Contour,2020,240067373.6
Contour,2013,80656122.56
Contour,2014,357941128.5
Contour,2021,548276574.6
Contour,2011,785700772.5
Contour,2002,819019999.8
Contour,2005,40824400.35
Contour,2015,414943741.3
Contour,2019,805641721.9
Contour,2006,173343450.4
Contour,2015,570469591.6
Contour,2019,31445380.04
Contour,2003,796059927.7
Contour,2001,289123023.5
Contour,2001,655047119.3
Contour,2003,268709205.6
Contour,2001,140152311.1
Contour,2003,609393066.9
Contour,2012,478102515.3
Contour,2008,579291463.7
Contour,2019,633235183.1
Contour,2023,78011109.17
Contour,2018,873969073.5
Contour,2018,787932669.5
Contour,2022,360115108.8
Contour,2000,565862766.1
Contour,2015,599498713.7
Contour,2001,188154016.3
Contour,2006,388444359.6
Contour,2006,959089056.9
Contour,2001,423497800.3
Contour,2010,983009072.5
Contour,2008,742911955
Contour,2014,375331147.3
Contour,2001,52857176.2
Contour,2023,671540720.7
Contour,2012,235881388.7
Contour,2014,464080741.5
Contour,2017,799375814.6
Contour,2004,344660447.8
Contour,2005,984907947.1
Contour,2021,672210046.6
Contour,2009,180728006.1
Contour,2022,88470694.56
Contour,2002,613560499.5
Contour,2000,467738820.1
Contour,2011,581146393.2
Contour,2012,441329902.7
Contour,2001,235821527.6
Contour,2010,610701520.9
Contour,2018,943794970.6
Contour,2023,389980456.3
Contour,2019,515866698.3
Contour,2006,522084944.9
Contour,2023,87417593.44
Contour,2011,793875725.6
Contour,2009,498794700.4
Contour,2017,918273448.1
Contour,2020,41168604.41
Contour,2023,469667874.6
Contour,2014,703504936.6
Contour,2011,934292220.6
Contour,2019,206663060.8
Contour,2024,21880776.5
Contour,2011,258979855.1
Contour,2013,563931419.3
Contour,2013,539436038.4
Contour,2008,937764357.9
Contour,2016,796751543.2
Contour,2009,109001592
Contour,2011,633202133.5
Contour,2019,637174072.7
Contour,2007,801969497.6
Contour,2023,653911516.1
Contour,2011,573058255.4
Contour,2007,572054878.3
Contour,2001,842475698.7
Contour,2003,894664366.7
Contour,2014,65627200.71
Contour,2024,155969714
Contour,2004,748744979.8
Contour,2018,536285159.4
Contour,2017,934273844
Contour,2024,927552172.1
Contour,2020,640163077.1
Contour,2023,246876545.3
Contour,2001,16832105.93
Contour,2021,739021647.9
Contour,2003,918425843.5
Contour,2004,130094112.7
Contour,2022,622888865.5
Contour,2013,784167536.3
Contour,2019,871028504.3
Contour,2019,783252469.4
Contour,2002,915994027.4
Contour,2012,785997304.9
Contour,2014,532537467
Contour,2017,737420778.1
Contour,2002,189736044.6
Contour,2013,136156660.6
Contour,2006,412093237
Contour,2013,392199496.4
Contour,2008,864627513.9
Contour,2006,392111980.3
Contour,2011,335755544.4
Contour,2017,410576700.1
Contour,2012,729983550.2
Contour,2012,288524924.3
Contour,2016,196309257
Contour,2002,486866172.4
Contour,2019,24943625.69
Contour,2000,634730854.3
Contour,2002,277619864.5
Contour,2002,184298627.9
Contour,2024,400917048.1
Contour,2017,356229771.2
Contour,2023,464361173.1
Contour,2001,570268705.6
Contour,2010,663704245.8
Contour,2015,445652737
Contour,2015,52155406.44
Contour,2016,309227138.7
Contour,2001,739531155.9
Contour,2016,47322303.64
Contour,2015,19664845.55
Contour,2014,979971309.5
Contour,2001,27707369.55
Contour,2017,716751839.7
Contour,2008,355684670.9
Contour,2000,350075364
Contour,2005,635339194.9
Contour,2013,394359410.8
Contour,2003,682645939.1
Contour,2018,478326773.4
Contour,2020,799423249.7
Contour,2021,291581875
Contour,2003,960657130.7
Contour,2014,757667217.9
Contour,2018,802468945.3
Contour,2017,887906883.9
Contour,2005,302520366.7
Contour,2014,348762200.4
Contour,2017,524926116.8
Contour,2006,504343609.5
Contour,2017,484264200.4
Contour,2003,527340628.2
Contour,2000,208211796.9
Contour,2016,514053483.7
Contour,2010,702055122
Contour,2014,78719932.2
Contour,2002,50382717.88
Contour,2003,344997942
Contour,2004,416586967.6
Contour,2022,52922992.02
Contour,2004,894691572.7
Contour,2013,269253660.5
Contour,2017,813988360.5
Contour,2002,880761836.1
Contour,2022,378670803.5
Contour,2018,868923726.3
Contour,2010,855151710.8
Contour,2024,65515961.96
Contour,2011,301163728.8
Contour,2003,705053257.3
Contour,2015,565554383.5
Contour,2024,622432167.2
Contour,2010,163497249.1
Contour,2001,780623181.6
Contour,2000,684027645.7
Contour,2012,305140373.2
Contour,2005,586984178.8
Contour,2023,932802300.8
Contour,2014,554920969.2
Contour,2018,370222276.7
Contour,2005,184982706.4
Contour,2022,92740447.77
Contour,2018,339260264.1
Contour,2004,456443617.3
Contour,2022,622087266.2
Contour,2001,827433046.9
Contour,2012,926079337.5
Contour,2013,88856577.72
Contour,2001,797456150.3
Contour,2010,753463887.1
Contour,2004,720138922.3
Contour,2006,516994293.8
Contour,2024,944148779.8
Contour,2004,72191321.13
Contour,2022,824195587
Contour,2006,566024528.2
Contour,2000,73727062.42
Contour,2011,681797137.3
Contour,2017,969312052.2
Contour,2023,195951866.7
Contour,2001,142486711.5
Contour,2011,948368882.9
Contour,2016,189824696.2
Contour,2022,300756242.3
Contour,2021,852893251.7
Contour,2012,157201505
Contour,2016,676438664.2
Contour,2015,171482547.5
Contour,2008,587676966.9
Contour,2015,687853426.8
Contour,2015,344416980.5
Contour,2017,984120647.9
Contour,2006,802752504.1
Contour,2005,386014269.2
Contour,2001,984420311
Contour,2003,143097220.7
Contour,2001,694039837.6
Contour,2023,826265597.4
Contour,2000,196802102.9
Contour,2015,749597790
Contour,2021,592065803
Contour,2018,900020366
Contour,2012,95350336.02
Contour,2021,259715465.2
Contour,2022,146119118
Contour,2008,404247172.9
Contour,2015,693817961
Contour,2020,236542434
Contour,2022,546263582
Contour,2024,193920808.7
Contour,2015,957696669.5
Contour,2016,328433719.3
Contour,2018,779924011.2
Contour,2004,46048057.64
Contour,2005,622059831.4
Contour,2007,242165945.6
Contour,2018,941945416.4
Contour,2007,799749365.6
Contour,2023,642468657.1
Contour,2013,895985906.3
Contour,2015,986132628.1
Contour,2018,120638995.3
Contour,2023,844217500.2
Contour,2021,329429732.8
Contour,2003,817592019.4
Contour,2001,896411571.3
Contour,2016,667996088.8
Contour,2022,968683050.2
Contour,2010,285589004.6
Contour,2000,233956549.7
Contour,2004,952207278.7
Contour,2007,519342995.5
Contour,2007,204284338.2
Contour,2008,278276158.5
Contour,2013,899273784
Contour,2008,400884016.4
Contour,2003,627892761.5
Contour,2002,155991744.4
Contour,2003,768060361.8
Contour,2013,323711591.3
Contour,2021,700955607.2
Contour,2001,357444987.4
Contour,2013,862811241.2
Contour,2017,709555542.2
Contour,2006,836114291.2
Contour,2015,571939291.7
Contour,2000,277414597.3
Contour,2019,437441777
Contour,2005,248372153.9
Contour,2006,35381803.69
Contour,2010,872906171.6
Contour,2022,426568952.9
Contour,2012,502456010.8
Contour,2020,743593079.8
Contour,2023,150903360.7
Contour,2023,37538129.84
Contour,2001,117310223.8
Contour,2013,535453788.4
Contour,2023,241118232.3
Contour,2008,507464906.2
Contour,2020,458289858.4
Contour,2007,49686993.18
Contour,2001,770660069.6
Contour,2016,728363771.7
Contour,2020,276848535.7
Contour,2009,651739238.4
Contour,2007,154098890.1
Contour,2004,757815936.5
Contour,2001,981749668.6
Contour,2008,899748228.4
Contour,2007,649682612.4
Contour,2019,239260924.7
Contour,2023,304521939.1
Contour,2003,423347929.4
Contour,2020,401415810.2
Contour,2021,561358946.4
Contour,2005,432036255.9
Contour,2000,65056373.5
Contour,2005,836212557.7
Contour,2017,995981487.4
Contour,2015,934704691.2
Contour,2001,582309798.1
Contour,2011,168753281.1
Contour,2003,107722316.8
Contour,2021,143793353.5
Contour,2003,27067040.87
Contour,2007,392093485.4
Contour,2019,396423315.5
Contour,2019,894109753.2
Contour,2003,509954560.5
Contour,2022,813674972.8
Contour,2000,644031287.9
Contour,2015,612993556
Contour,2008,253460035.8
Contour,2024,273163066.3
Contour,2014,570457754.8
Contour,2018,12132943.08
Contour,2023,965392376.5
Contour,2009,333791319.2
Contour,2017,288536886.3
Contour,2010,59255445.06
Contour,2023,284808923.7
Contour,2020,682296239.7
Contour,2012,43519659.91
Contour,2011,422424630.8
Contour,2010,150352719.4
Contour,2013,151533144.7
Contour,2010,371011639.4
Contour,2006,54287264.88
Contour,2008,814330035.5
Contour,2015,524885453.8
Contour,2005,389813095.5
Contour,2022,298890169.3
Contour,2023,95188761.4
Contour,2018,93751304.62
Contour,2013,563751099
Contour,2019,517391146.1
Contour,2011,401917371.3
Contour,2019,890685241.1
Contour,2024,750674442.8
Contour,2022,274621290.8
Contour,2009,434253638.7
Contour,2008,507666046.3
Contour,2020,409790463.9
Contour,2004,412269683.6
Contour,2024,459464067.7
Contour,2012,376415321.6
Contour,2001,228334460.9
Contour,2010,15731700.98
Contour,2006,686054437.8
Contour,2007,239458274
Contour,2023,524298094.2
Contour,2022,594814541.2
Contour,2024,807191235.4
Contour,2010,218296859.7
Contour,2006,295992020.5
Contour,2006,744793860
Contour,2022,921854279
Contour,2021,70554423.94
Contour,2002,792381472
Contour,2003,503516446.4
Contour,2005,79052555.21
Contour,2017,785729063.5
Contour,2009,366473009.4
Contour,2024,849525547.1
Contour,2011,642556122.2
Contour,2009,486794853.5
Contour,2009,88892729.23
Contour,2024,990567461.3
Contour,2020,427700918.7
Contour,2001,410351907.5
Contour,2013,365737186.2
Contour,2018,900511510
Contour,2020,349420739.8
Contour,2012,615723443.4
Contour,2021,438255852.1
Contour,2021,465863142.1
Contour,2022,922060975.3
Contour,2020,670222182
Contour,2023,297060199.8
Contour,2019,70350155.51
Contour,2005,687546721.5
Contour,2005,931354663.8
Contour,2010,523478582.4
Contour,2005,309536545
Contour,2018,846319114.5
Contour,2021,673924169.4
Contour,2009,468450186.7
Contour,2013,766379852.3
Contour,2021,218204857.3
Contour,2004,568749432.1
Contour,2013,817233232.7
Contour,2009,783224735.6
Contour,2006,525182825.9
Contour,2003,196278110.5
Contour,2006,729894931.6
Contour,2001,999136274.5
Contour,2005,325810466.9
Contour,2007,191743204.6
Contour,2019,716829727.2
Contour,2024,742645836
Contour,2001,653910543.9
Contour,2020,340423930.4
Contour,2015,135017554.7
Contour,2008,525886813
Contour,2004,300585570
Contour,2001,621428065.7
Contour,2002,362119499.8
Contour,2016,919854849.1
Contour,2021,419625453.1
Contour,2023,784718407.1
Contour,2012,571541337.3
Contour,2022,626853760.3
Contour,2007,72686497.34
Contour,2022,691958761.2
Contour,2004,53762076.45
Contour,2021,365419035
Contour,2011,655956917.8
Contour,2014,444510362.8
Contour,2016,705654033.3
Contour,2014,550791655.8
Contour,2015,356293450.6
Contour,2017,997614054.6
Contour,2015,961254917.2
Contour,2017,162507478.1
Contour,2019,173032370.4
Contour,2002,416244026.4
Contour,2016,52507433.13
Contour,2022,877881674
Contour,2013,68333008.68
Contour,2004,177507199.7
Contour,2003,883516431.1
Eyeshadow,2021,392201011.1
Eyeshadow,2007,267210448
Eyeshadow,2007,339724260.4
Eyeshadow,2012,217398763.7
Eyeshadow,2017,906092375.3
Eyeshadow,2013,259851423.3
Eyeshadow,2014,951872944.3
Eyeshadow,2000,108085547.1
Eyeshadow,2000,87069915.4
Eyeshadow,2008,260941443.8
Eyeshadow,2001,221647476.4
Eyeshadow,2008,293785652.8
Eyeshadow,2018,536455961.9
Eyeshadow,2003,563078001.6
Eyeshadow,2005,437622453.6
Eyeshadow,2018,253312751.1
Eyeshadow,2017,555555001.5
Eyeshadow,2004,458286051.7
Eyeshadow,2018,129237096.5
Eyeshadow,2005,403181883.6
Eyeshadow,2019,551558041.3
Eyeshadow,2001,371171835.4
Eyeshadow,2016,472080364.6
Eyeshadow,2021,451034369.8
Eyeshadow,2024,64001112.98
Eyeshadow,2019,741903971.2
Eyeshadow,2006,689758271.4
Eyeshadow,2020,359851253.7
Eyeshadow,2010,290565294.6
Eyeshadow,2023,204741504.9
Eyeshadow,2004,533670436.3
Eyeshadow,2003,775543643.2
Eyeshadow,2023,880730290.7
Eyeshadow,2002,776293111
Eyeshadow,2008,402615175.4
Eyeshadow,2002,534216682.4
Eyeshadow,2021,99055969.86
Eyeshadow,2022,672668571.9
Eyeshadow,2004,319817124.5
Eyeshadow,2002,928086682.3
Eyeshadow,2015,499940316.7
Eyeshadow,2000,987975699
Eyeshadow,2001,557260828.7
Eyeshadow,2002,183962493.1
Eyeshadow,2004,712644081.6
Eyeshadow,2013,85268155.07
Eyeshadow,2020,143726257.5
Eyeshadow,2024,539492791
Eyeshadow,2005,663025924.1
Eyeshadow,2024,690400049.7
Eyeshadow,2002,953105543.9
Eyeshadow,2022,316054295.7
Eyeshadow,2014,873956501.9
Eyeshadow,2003,290988366.4
Eyeshadow,2011,26559089.64
Eyeshadow,2016,262116021.2
Eyeshadow,2023,775617214.2
Eyeshadow,2017,902431723.6
Eyeshadow,2021,88864024.98
Eyeshadow,2000,902455118.3
Eyeshadow,2023,857277479.4
Eyeshadow,2004,158531346.6
Eyeshadow,2018,954944303.6
Eyeshadow,2010,383827475.4
Eyeshadow,2004,401752058.8
Eyeshadow,2024,488947367.6
Eyeshadow,2004,894028133
Eyeshadow,2016,725371436.1
Eyeshadow,2022,524865159
Eyeshadow,2014,333054844.8
Eyeshadow,2003,113850737.5
Eyeshadow,2015,741463193
Eyeshadow,2017,500505358
Eyeshadow,2003,582355220
Eyeshadow,2022,339342397.4
Eyeshadow,2012,569954153.5
Eyeshadow,2021,132755801.5
Eyeshadow,2005,787746229.3
Eyeshadow,2018,763041345.8
Eyeshadow,2000,635696006.7
Eyeshadow,2021,696967135.5
Eyeshadow,2022,472432149
Eyeshadow,2009,47372898.08
Eyeshadow,2008,234903694.3
Eyeshadow,2007,166890645.4
Eyeshadow,2012,514917268.1
Eyeshadow,2018,793951922.1
Eyeshadow,2013,972386668.5
Eyeshadow,2017,166880082
Eyeshadow,2003,103201242.8
Eyeshadow,2000,226930009.4
Eyeshadow,2013,733311929.6
Eyeshadow,2007,653705384.7
Eyeshadow,2006,748814013.1
Eyeshadow,2023,58032587.59
Eyeshadow,2008,310263901.5
Eyeshadow,2020,437673949.8
Eyeshadow,2001,118724649.3
Eyeshadow,2009,169511360.9
Eyeshadow,2023,679079032
Eyeshadow,2010,313602990.2
Eyeshadow,2011,229346033.5
Eyeshadow,2005,781183365.8
Eyeshadow,2012,953717504.4
Eyeshadow,2019,914992578.9
Eyeshadow,2004,317891589.4
Eyeshadow,2006,676163423.2
Eyeshadow,2013,947643192.7
Eyeshadow,2018,437070072.6
Eyeshadow,2006,328925407.7
Eyeshadow,2006,415833015.1
Eyeshadow,2020,41732092.94
Eyeshadow,2011,134691680.8
Eyeshadow,2024,950816028.5
Eyeshadow,2012,344999199.8
Eyeshadow,2012,13559825.42
Eyeshadow,2000,939377477.4
Eyeshadow,2015,624611506.9
Eyeshadow,2020,271312619.9
Eyeshadow,2016,746269776.7
Eyeshadow,2002,488224852.1
Eyeshadow,2019,335335366.6
Eyeshadow,2010,691386727.8
Eyeshadow,2017,888089890
Eyeshadow,2013,844818231.8
Eyeshadow,2016,413849272.7
Eyeshadow,2006,35964119.93
Eyeshadow,2018,514483584.8
Eyeshadow,2015,606401850.4
