Category,Year,Avg Price USD,Units Sold,Dollar Sales UD,YOY % Change
Additional Treatments,2004,96.2,3624325,"$349,000,000.00",-6.49
Additional Treatments,2000,95.67,7073410,"$677,000,000.00",4.32
Additional Treatments,2017,107.87,2865123,"$309,000,000.00",-3.63
Additional Treatments,2011,10.59,6738064,"$71,339,764.00",3.8
Additional Treatments,2007,15.75,8031737,"$126,000,000.00",8.69
Additional Treatments,2005,110.54,1822293,"$201,000,000.00",5.38
Additional Treatments,2006,92.44,6704394,"$620,000,000.00",7.96
Additional Treatments,2009,48.78,3919586,"$191,000,000.00",11.43
Additional Treatments,2012,87.82,6674666,"$586,000,000.00",-0.57
Additional Treatments,2004,92.41,421681,"$38,969,565.00",-5.83
Additional Treatments,2008,65.14,3968630,"$259,000,000.00",5.77
Additional Treatments,2017,70.52,8026782,"$566,000,000.00",5.21
Additional Treatments,2018,49.63,5684892,"$282,000,000.00",10.99
Additional Treatments,2017,94.43,5540661,"$523,000,000.00",19.73
Additional Treatments,2003,116.35,3967651,"$462,000,000.00",12.22
Additional Treatments,2007,41.73,8852536,"$369,000,000.00",11.69
Additional Treatments,2001,50.15,3098475,"$155,000,000.00",-3.4
Additional Treatments,2020,91.76,2200902,"$202,000,000.00",-5.05
Additional Treatments,2021,62.21,6287388,"$391,000,000.00",13.92
Additional Treatments,2008,85.5,7016145,"$600,000,000.00",-5.28
Additional Treatments,2000,74.22,3717893,"$276,000,000.00",16.03
Additional Treatments,2002,16.98,6711504,"$114,000,000.00",-2.31
Additional Treatments,2011,68.3,5880685,"$402,000,000.00",4.58
Additional Treatments,2011,27.72,6333138,"$176,000,000.00",9.74
Additional Treatments,2005,35.38,3176060,"$112,000,000.00",-3.62
Additional Treatments,2015,87.76,2753962,"$242,000,000.00",3.51
Additional Treatments,2011,75.31,5120545,"$386,000,000.00",12.76
Additional Treatments,2023,73.29,170382,"$12,488,084.00",-5.59
Additional Treatments,2003,21.38,9976717,"$213,000,000.00",-4.67
Additional Treatments,2017,30.42,1368967,"$41,645,646.00",17.05
Additional Treatments,2016,89.24,6557357,"$585,000,000.00",-0.91
Additional Treatments,2011,85.98,7191293,"$618,000,000.00",18.91
Additional Treatments,2013,50.92,5269837,"$268,000,000.00",8.44
Additional Treatments,2015,49.07,1895390,"$92,999,233.00",-6.34
Additional Treatments,2024,21.09,959386,"$20,237,061.00",-2.3
Additional Treatments,2009,77.12,4163999,"$321,000,000.00",3.66
Additional Treatments,2010,31.34,9486347,"$297,000,000.00",17.82
Additional Treatments,2016,119.22,5862298,"$699,000,000.00",-2.04
Additional Treatments,2000,47.01,9288095,"$437,000,000.00",-6.76
Additional Treatments,2002,51.39,1598008,"$82,124,882.00",16.86
Additional Treatments,2022,99.81,6402042,"$639,000,000.00",2.53
Additional Treatments,2005,44.63,7668629,"$342,000,000.00",11.86
Additional Treatments,2011,58.35,3134662,"$183,000,000.00",7.76
Additional Treatments,2008,18.57,6672804,"$124,000,000.00",-5.8
Additional Treatments,2017,60.93,6118363,"$373,000,000.00",17.1
Additional Treatments,2001,88.01,9903299,"$872,000,000.00",8.33
Additional Treatments,2007,67.35,760761,"$51,237,761.00",19.25
Additional Treatments,2007,70.08,3203256,"$224,000,000.00",4.48
Additional Treatments,2007,76.64,9672910,"$741,000,000.00",9.63
Additional Treatments,2020,29.03,5393659,"$157,000,000.00",18.1
Additional Treatments,2003,39.12,4406197,"$172,000,000.00",4.34
Additional Treatments,2000,96.61,8934423,"$863,000,000.00",-4.63
Additional Treatments,2017,90.78,4752409,"$431,000,000.00",15.54
Additional Treatments,2008,114.09,8265586,"$943,000,000.00",14.46
Additional Treatments,2007,75.89,9390149,"$713,000,000.00",4.83
Additional Treatments,2015,101.44,2539999,"$258,000,000.00",-7.01
Additional Treatments,2024,41.18,4379140,"$180,000,000.00",8.16
Additional Treatments,2004,33.24,5898706,"$196,000,000.00",-2.82
Additional Treatments,2016,69.76,8115264,"$566,000,000.00",-0.57
Additional Treatments,2012,46.16,8132942,"$375,000,000.00",10.37
Additional Treatments,2015,52.1,1104913,"$57,570,257.00",0.48
Additional Treatments,2023,64.89,9171597,"$595,000,000.00",4.97
Additional Treatments,2010,27.95,3113076,"$87,018,827.00",6.54
Additional Treatments,2020,41.4,8078379,"$334,000,000.00",5.84
Additional Treatments,2001,108.52,3153420,"$342,000,000.00",4.56
Additional Treatments,2022,77.16,8244455,"$636,000,000.00",4.19
Additional Treatments,2000,52.38,9763737,"$511,000,000.00",-2.24
Additional Treatments,2017,70.61,8033327,"$567,000,000.00",11.31
Additional Treatments,2023,54.56,6689773,"$365,000,000.00",-5.3
Additional Treatments,2008,38.12,1427632,"$54,424,955.00",1.66
Additional Treatments,2005,94.03,3571439,"$336,000,000.00",7.16
Additional Treatments,2019,39.73,7221892,"$287,000,000.00",7.07
Additional Treatments,2001,14.49,7543476,"$109,000,000.00",9.72
Additional Treatments,2010,30.1,6278060,"$189,000,000.00",6.68
Additional Treatments,2001,116.31,6561221,"$763,000,000.00",-6.88
Additional Treatments,2019,78.57,2011646,"$158,000,000.00",-2.76
Additional Treatments,2003,74.65,9977288,"$745,000,000.00",-7.9
Additional Treatments,2009,116.18,603026,"$70,059,234.00",13.72
Additional Treatments,2000,56.78,7032598,"$399,000,000.00",14.62
Additional Treatments,2008,93.48,5749787,"$538,000,000.00",-7.26
Additional Treatments,2003,113.19,6528849,"$739,000,000.00",4.94
Additional Treatments,2001,60.31,9933994,"$599,000,000.00",8.18
Additional Treatments,2000,27.84,7358789,"$205,000,000.00",-0.57
Additional Treatments,2019,14.17,5700333,"$80,760,094.00",17.02
Additional Treatments,2020,23.74,9897404,"$235,000,000.00",15.1
Additional Treatments,2002,81.77,3482260,"$285,000,000.00",-6.7
Additional Treatments,2020,23.55,4623346,"$109,000,000.00",11.41
Additional Treatments,2017,27.62,7974084,"$220,000,000.00",11.88
Additional Treatments,2008,70.36,4954029,"$349,000,000.00",17.98
Additional Treatments,2018,106.79,6338570,"$677,000,000.00",5.59
Additional Treatments,2007,57.43,2154348,"$124,000,000.00",8.54
Additional Treatments,2023,17.5,1857788,"$32,518,868.00",-3.08
Additional Treatments,2007,87.76,9598289,"$842,000,000.00",10.63
Additional Treatments,2014,81.37,3398426,"$277,000,000.00",11.6
Additional Treatments,2000,107.49,262019,"$28,164,009.00",9.12
Additional Treatments,2013,69.41,7115537,"$494,000,000.00",8.11
Additional Treatments,2021,77.62,6850468,"$532,000,000.00",-6.99
Additional Treatments,2002,110.35,8908705,"$983,000,000.00",-3.62
Additional Treatments,2023,94.43,7363300,"$695,000,000.00",19.8
Additional Treatments,2013,66.69,9292484,"$620,000,000.00",3.99
Additional Treatments,2012,14.78,8397554,"$124,000,000.00",6.08
Additional Treatments,2020,79.07,3465034,"$274,000,000.00",14.1
Additional Treatments,2019,83.38,1094055,"$91,224,256.00",-7.11
Additional Treatments,2004,94.57,2324937,"$220,000,000.00",-4.54
Additional Treatments,2010,23.04,7681643,"$177,000,000.00",5.12
Additional Treatments,2018,114.27,1624950,"$186,000,000.00",15.61
Additional Treatments,2004,117.66,1106796,"$130,000,000.00",12.11
Additional Treatments,2000,68.86,2992712,"$206,000,000.00",4.66
Additional Treatments,2004,97.67,2711484,"$265,000,000.00",18.51
Additional Treatments,2024,68.93,8849486,"$610,000,000.00",7.3
Additional Treatments,2002,85.63,5764817,"$494,000,000.00",-7.67
Additional Treatments,2011,12.66,8535217,"$108,000,000.00",18.7
Additional Treatments,2016,28.53,3387810,"$96,647,790.00",18.42
Additional Treatments,2024,80.85,885999,"$71,637,175.00",19.08
Additional Treatments,2009,33.28,6395206,"$213,000,000.00",-3.4
Additional Treatments,2000,103.31,3611796,"$373,000,000.00",-2.78
Additional Treatments,2000,45.66,8357378,"$382,000,000.00",16.21
Additional Treatments,2018,52.33,3126035,"$164,000,000.00",-5.77
Additional Treatments,2022,66.75,5211765,"$348,000,000.00",16.15
Additional Treatments,2024,61.07,1600599,"$97,746,793.00",2.35
Additional Treatments,2021,27.7,1267140,"$35,098,329.00",-0.04
Additional Treatments,2012,70.82,243350,"$17,235,325.00",-2.52
Additional Treatments,2010,65.04,2647223,"$172,000,000.00",-2.58
Additional Treatments,2007,45.58,1964416,"$89,528,622.00",5.82
Additional Treatments,2015,52.09,4799667,"$250,000,000.00",19.09
Additional Treatments,2009,94.35,9747156,"$920,000,000.00",-3.78
Additional Treatments,2009,101.74,5562295,"$566,000,000.00",8.42
Additional Treatments,2011,102.82,1563742,"$161,000,000.00",11.17
Additional Treatments,2022,43.11,5605541,"$242,000,000.00",15.59
Additional Treatments,2013,106.52,5051480,"$538,000,000.00",-2.55
Additional Treatments,2017,100.61,3433955,"$345,000,000.00",8.07
Additional Treatments,2023,68.88,4635781,"$319,000,000.00",19.37
Additional Treatments,2000,104.59,1519865,"$159,000,000.00",1.01
Additional Treatments,2012,96.56,2449162,"$236,000,000.00",11.35
Additional Treatments,2011,113.19,7497139,"$849,000,000.00",2.78
Additional Treatments,2015,80.2,2116283,"$170,000,000.00",19.92
Additional Treatments,2022,76.41,2065015,"$158,000,000.00",1.24
Additional Treatments,2024,86.6,1960187,"$170,000,000.00",17.29
Additional Treatments,2007,73.75,6540156,"$482,000,000.00",-3.88
Additional Treatments,2023,72.5,1098214,"$79,621,012.00",12.63
Additional Treatments,2001,79.61,5484452,"$437,000,000.00",11.63
Additional Treatments,2013,100.94,4906962,"$495,000,000.00",-7.8
Additional Treatments,2014,75.95,1100288,"$83,567,696.00",7.09
Additional Treatments,2006,53.57,3732476,"$200,000,000.00",18.58
Additional Treatments,2015,93.8,4010066,"$376,000,000.00",11.03
Additional Treatments,2019,87.42,5834649,"$510,000,000.00",4.04
Additional Treatments,2020,47.82,719997,"$34,432,451.00",17.1
Additional Treatments,2021,87.7,7797731,"$684,000,000.00",-3.9
Additional Treatments,2024,106.55,4015354,"$428,000,000.00",11.26
Additional Treatments,2010,101.11,7805809,"$789,000,000.00",11.65
Additional Treatments,2023,98.48,4783555,"$471,000,000.00",15.48
Additional Treatments,2020,26.44,8409044,"$222,000,000.00",18.42
Additional Treatments,2002,16.81,170625,"$2,868,200.00",-2.35
Additional Treatments,2002,40.89,1330842,"$54,412,100.00",18.63
Additional Treatments,2007,116.48,3294874,"$384,000,000.00",-5.96
Additional Treatments,2019,18.09,5890398,"$107,000,000.00",-4.34
Additional Treatments,2020,16.07,5905222,"$94,884,635.00",-3.6
Additional Treatments,2010,75.85,8108088,"$615,000,000.00",-0.03
Additional Treatments,2002,118.75,1529325,"$182,000,000.00",-6.88
Additional Treatments,2013,86.39,9695179,"$838,000,000.00",4.15
Additional Treatments,2006,83.6,111708,"$9,339,188.00",10.73
Additional Treatments,2017,97.6,2476910,"$242,000,000.00",-5.89
Additional Treatments,2006,114.88,3457893,"$397,000,000.00",19.26
Additional Treatments,2012,73.62,5684820,"$419,000,000.00",19.39
Additional Treatments,2023,14.22,698197,"$9,926,226.00",-2.26
Additional Treatments,2022,69.06,5133478,"$355,000,000.00",-7.87
Additional Treatments,2022,23.25,708022,"$16,459,892.00",3.14
Additional Treatments,2018,31.42,3301762,"$104,000,000.00",6.29
Additional Treatments,2015,105.45,3315019,"$350,000,000.00",-0.11
Additional Treatments,2018,73.83,2121194,"$157,000,000.00",-7.78
Additional Treatments,2000,95.82,3357598,"$322,000,000.00",2.46
Additional Treatments,2021,70.41,5541440,"$390,000,000.00",11.12
Additional Treatments,2003,77.38,1482937,"$115,000,000.00",4.14
Additional Treatments,2002,110.14,6096260,"$671,000,000.00",16.19
Additional Treatments,2011,51.65,6588715,"$340,000,000.00",9.56
Additional Treatments,2012,11.61,2312807,"$26,841,468.00",-7.21
Additional Treatments,2017,114.02,7150560,"$815,000,000.00",-0.72
Additional Treatments,2011,66.12,8125904,"$537,000,000.00",11.8
Additional Treatments,2006,10.56,3361817,"$35,500,984.00",13.86
Additional Treatments,2016,88.78,6451331,"$573,000,000.00",8.23
Additional Treatments,2001,116.16,2900653,"$337,000,000.00",9.35
Additional Treatments,2015,25.97,8902954,"$231,000,000.00",3.2
Additional Treatments,2016,20.19,363690,"$7,341,292.00",2.52
Additional Treatments,2024,15.07,826511,"$12,458,080.00",-0.58
Additional Treatments,2007,35.43,5283303,"$187,000,000.00",18.47
Additional Treatments,2009,66.04,8473603,"$560,000,000.00",6.22
Additional Treatments,2010,14.34,1818034,"$26,072,134.00",6.2
Additional Treatments,2017,89.01,9369705,"$834,000,000.00",16.18
Additional Treatments,2013,14.86,3682537,"$54,705,731.00",-5.51
Additional Treatments,2000,39.69,4911049,"$195,000,000.00",4.32
Additional Treatments,2016,52.02,1327249,"$69,041,663.00",4.19
Additional Treatments,2000,25.74,8417909,"$217,000,000.00",10.49
Additional Treatments,2021,109.67,1005646,"$110,000,000.00",-1.69
Additional Treatments,2014,108.85,8444901,"$919,000,000.00",13.75
Additional Treatments,2023,116.95,7280633,"$851,000,000.00",19.54
Additional Treatments,2019,115.87,5736957,"$665,000,000.00",1.75
Additional Treatments,2015,117.76,5428983,"$639,000,000.00",15.42
Additional Treatments,2022,43.48,1390767,"$60,475,449.00",3.83
Additional Treatments,2012,114.18,5890642,"$673,000,000.00",10.66
Additional Treatments,2014,48.1,8826959,"$425,000,000.00",4.52
Additional Treatments,2011,38.15,2938981,"$112,000,000.00",-2.01
Additional Treatments,2002,84.46,635906,"$53,708,671.00",5.69
Additional Treatments,2021,89.52,7515472,"$673,000,000.00",14.98
Additional Treatments,2003,72.43,8673002,"$628,000,000.00",-0.76
Additional Treatments,2016,37.8,2429821,"$91,840,758.00",18.71
Additional Treatments,2012,34.35,144495,"$4,963,382.00",2.51
Additional Treatments,2016,91.16,7978424,"$727,000,000.00",19.69
Additional Treatments,2020,51.81,9985441,"$517,000,000.00",16.76
Additional Treatments,2021,47.49,8043097,"$382,000,000.00",12.07
Additional Treatments,2024,119.95,7988026,"$958,000,000.00",8.08
Additional Treatments,2020,34.04,7755643,"$264,000,000.00",8.84
Additional Treatments,2022,11.15,2339492,"$26,075,544.00",-7.84
Additional Treatments,2015,99.27,4835374,"$480,000,000.00",19.06
Additional Treatments,2013,112.07,6325647,"$709,000,000.00",-6.39
Additional Treatments,2015,66.08,7070193,"$467,000,000.00",0.47
Additional Treatments,2011,116.6,4823134,"$562,000,000.00",-5.12
Additional Treatments,2023,108.81,5051330,"$550,000,000.00",15.45
Additional Treatments,2004,64.45,1756792,"$113,000,000.00",7.1
Additional Treatments,2010,73.2,4396702,"$322,000,000.00",-5.15
Additional Treatments,2020,97.31,346838,"$33,749,573.00",-5.17
Additional Treatments,2008,65.68,9235885,"$607,000,000.00",18.09
Additional Treatments,2019,74.28,3987397,"$296,000,000.00",-2.3
Additional Treatments,2017,61.79,3984667,"$246,000,000.00",9.75
Additional Treatments,2006,17.58,5209986,"$91,596,207.00",6.76
Additional Treatments,2007,79.41,715577,"$56,825,482.00",-4.49
Additional Treatments,2008,46.03,3848160,"$177,000,000.00",1.53
Additional Treatments,2012,77.06,4199966,"$324,000,000.00",11.74
Additional Treatments,2004,60.2,6660098,"$401,000,000.00",12.88
Additional Treatments,2012,87.89,8598406,"$756,000,000.00",6.21
Additional Treatments,2016,96.62,1061022,"$103,000,000.00",13.61
Additional Treatments,2010,43.1,2881966,"$124,000,000.00",16.93
Additional Treatments,2007,103.93,7381819,"$767,000,000.00",10.95
Additional Treatments,2013,50.3,9276748,"$467,000,000.00",9.81
Additional Treatments,2016,48.37,9442420,"$457,000,000.00",11.75
Additional Treatments,2017,48.01,2135372,"$103,000,000.00",8.09
Additional Treatments,2009,86.34,410059,"$35,402,731.00",16.67
Additional Treatments,2000,16.95,8232179,"$140,000,000.00",-4.37
Additional Treatments,2015,118.77,3698013,"$439,000,000.00",19.87
Additional Treatments,2006,93.05,939841,"$87,450,250.00",-5.89
Additional Treatments,2017,75.81,8327411,"$631,000,000.00",11
Additional Treatments,2009,23.53,9601429,"$226,000,000.00",-0.81
Additional Treatments,2008,82.11,996220,"$81,804,498.00",11.74
Additional Treatments,2012,49.01,5925268,"$290,000,000.00",2.68
Additional Treatments,2009,52.61,543474,"$28,594,495.00",-0.34
Additional Treatments,2020,34.72,2434283,"$84,519,276.00",11.98
Additional Treatments,2011,66.16,6966013,"$461,000,000.00",18.54
Additional Treatments,2015,41.14,4310389,"$177,000,000.00",16.11
Additional Treatments,2012,53.04,2352324,"$125,000,000.00",15.64
Additional Treatments,2013,52.91,1289321,"$68,212,772.00",2.72
Additional Treatments,2016,95.59,5329904,"$510,000,000.00",4.7
Additional Treatments,2008,112.92,9812716,"$1,110,000,000.00",12.03
Additional Treatments,2016,91.25,2935133,"$268,000,000.00",17.65
Additional Treatments,2019,66.6,112661,"$7,503,707.00",-2.71
Additional Treatments,2003,73.11,6977455,"$510,000,000.00",0.45
Additional Treatments,2008,109.07,6923707,"$755,000,000.00",5.77
Additional Treatments,2000,111.35,3096265,"$345,000,000.00",17.55
Additional Treatments,2000,75.66,2458642,"$186,000,000.00",4.84
Additional Treatments,2016,89.02,4917755,"$438,000,000.00",7.73
Additional Treatments,2022,106.35,5128839,"$545,000,000.00",14.24
Additional Treatments,2019,18.37,3198462,"$58,751,816.00",-2.42
Additional Treatments,2010,103.09,1210152,"$125,000,000.00",18.78
Additional Treatments,2024,37.97,2168237,"$82,318,728.00",-5.33
Additional Treatments,2022,57.13,7278075,"$416,000,000.00",17.27
Additional Treatments,2012,80,9811456,"$785,000,000.00",7.06
Additional Treatments,2021,13.19,8727840,"$115,000,000.00",14.88
Additional Treatments,2001,108.92,565590,"$61,606,086.00",0.74
Additional Treatments,2008,25.48,8942434,"$228,000,000.00",-6.63
Additional Treatments,2000,104.66,2493768,"$261,000,000.00",8.64
Additional Treatments,2010,79.44,7926537,"$630,000,000.00",6.65
Additional Treatments,2005,100.54,1413134,"$142,000,000.00",5.56
Additional Treatments,2021,33.58,4559189,"$153,000,000.00",14.22
Additional Treatments,2012,10.28,5148786,"$52,943,015.00",-2.49
Additional Treatments,2014,25.22,6185289,"$156,000,000.00",0.9
Additional Treatments,2015,28.91,6421688,"$186,000,000.00",6.07
Additional Treatments,2000,19.51,2275208,"$44,395,503.00",13.86
Additional Treatments,2023,37.59,4049056,"$152,000,000.00",-4.26
Additional Treatments,2012,12.55,5655087,"$70,976,402.00",10.96
Additional Treatments,2018,98.3,3635581,"$357,000,000.00",1.17
Additional Treatments,2016,71.68,1643849,"$118,000,000.00",-0.87
Additional Treatments,2004,83.63,2688485,"$225,000,000.00",7
Additional Treatments,2022,69.67,3526606,"$246,000,000.00",15.26
Additional Treatments,2016,13.24,6714049,"$88,879,765.00",10.97
Additional Treatments,2007,66.93,6736480,"$451,000,000.00",4.49
Additional Treatments,2002,38.28,7677363,"$294,000,000.00",12.92
Additional Treatments,2012,95.19,7949151,"$757,000,000.00",-6.59
Additional Treatments,2002,59.75,5842895,"$349,000,000.00",15.13
Additional Treatments,2010,80.05,4135229,"$331,000,000.00",-5.7
Additional Treatments,2002,57.47,6219958,"$357,000,000.00",10.58
Additional Treatments,2000,72.28,9697510,"$701,000,000.00",-0.01
Additional Treatments,2013,45.16,433855,"$19,593,145.00",16.04
Additional Treatments,2013,74.43,2406502,"$179,000,000.00",-3.5
Additional Treatments,2000,82.67,835222,"$69,049,435.00",14.47
Additional Treatments,2000,96.81,3356504,"$325,000,000.00",11.65
Additional Treatments,2005,119.77,7489826,"$897,000,000.00",0.37
Additional Treatments,2018,117.99,7989746,"$943,000,000.00",4.47
Additional Treatments,2015,57.8,7218481,"$417,000,000.00",0.27
Additional Treatments,2024,74.96,5802702,"$435,000,000.00",15.7
Additional Treatments,2019,22.43,9167176,"$206,000,000.00",-6.43
Additional Treatments,2001,108.11,3926860,"$425,000,000.00",15.94
Additional Treatments,2009,26.85,1907505,"$51,211,876.00",8.79
Additional Treatments,2007,10.24,4025711,"$41,240,160.00",-4.13
Additional Treatments,2007,111.49,7312100,"$815,000,000.00",8.6
Additional Treatments,2008,43.24,3623784,"$157,000,000.00",15.84
Additional Treatments,2022,110.57,8911242,"$985,000,000.00",19.63
Additional Treatments,2005,43.1,9048493,"$390,000,000.00",6.53
Additional Treatments,2020,40.01,6676772,"$267,000,000.00",13.64
Additional Treatments,2007,73.51,5866156,"$431,000,000.00",10.61
Additional Treatments,2007,117.74,1881595,"$222,000,000.00",1.84
Additional Treatments,2017,58.58,4109558,"$241,000,000.00",-7.39
Additional Treatments,2013,42.46,2887317,"$123,000,000.00",1.79
Additional Treatments,2000,73.94,2948210,"$218,000,000.00",19.78
Additional Treatments,2016,92.11,1248259,"$115,000,000.00",6.4
Additional Treatments,2019,11.21,9353862,"$105,000,000.00",5.97
Additional Treatments,2017,32.97,6732581,"$222,000,000.00",16.3
Additional Treatments,2020,93.56,6258096,"$586,000,000.00",11.04
Additional Treatments,2003,50.08,4366917,"$219,000,000.00",11.8
Additional Treatments,2020,52.91,3776086,"$200,000,000.00",0.96
Additional Treatments,2006,69.49,9465446,"$658,000,000.00",-1.95
Additional Treatments,2012,109.1,7737862,"$844,000,000.00",9.57
Additional Treatments,2006,106.19,7243449,"$769,000,000.00",0.82
Additional Treatments,2014,28.79,692727,"$19,945,839.00",4.84
Additional Treatments,2017,61.79,3912083,"$242,000,000.00",17.87
Additional Treatments,2000,94.64,5790226,"$548,000,000.00",7.59
Additional Treatments,2016,24.93,7584835,"$189,000,000.00",-0.17
Additional Treatments,2013,10.93,7451754,"$81,415,392.00",6.95
Additional Treatments,2012,83.03,7580286,"$629,000,000.00",16.43
Additional Treatments,2016,36.75,1892213,"$69,542,686.00",-2.52
Additional Treatments,2004,27.42,8865122,"$243,000,000.00",2.73
Additional Treatments,2023,94.75,6058731,"$574,000,000.00",7.25
Additional Treatments,2003,87.55,1113554,"$97,487,155.00",3.49
Additional Treatments,2003,52.35,6760691,"$354,000,000.00",9.37
Additional Treatments,2022,70.22,4572903,"$321,000,000.00",-0.85
Additional Treatments,2010,24.57,5749818,"$141,000,000.00",16.61
Additional Treatments,2014,50.8,8685397,"$441,000,000.00",15.21
Additional Treatments,2000,109.17,4128995,"$451,000,000.00",15.93
Additional Treatments,2022,17.39,8415795,"$146,000,000.00",4.66
Additional Treatments,2018,61.45,5836484,"$359,000,000.00",4.19
Additional Treatments,2007,74.47,918297,"$68,384,966.00",-7.85
Additional Treatments,2015,113.4,2018757,"$229,000,000.00",11.51
Additional Treatments,2000,36.67,570075,"$20,903,906.00",18.7
Additional Treatments,2002,59.85,5453949,"$326,000,000.00",-0.16
Additional Treatments,2019,44.41,3953786,"$176,000,000.00",12.4
Additional Treatments,2011,106.98,2265882,"$242,000,000.00",-5.78
Additional Treatments,2006,97.5,4707754,"$459,000,000.00",14.66
Additional Treatments,2001,25.3,9563864,"$242,000,000.00",4.55
Additional Treatments,2009,74.9,9604206,"$719,000,000.00",13.55
Additional Treatments,2014,62.93,8045510,"$506,000,000.00",4.94
Additional Treatments,2022,108.5,5644122,"$612,000,000.00",-4.77
Additional Treatments,2023,12.62,8127696,"$103,000,000.00",1.68
Additional Treatments,2006,67.91,7590808,"$515,000,000.00",-7.56
Additional Treatments,2018,43.52,3582173,"$156,000,000.00",13.65
Additional Treatments,2012,34.03,8316953,"$283,000,000.00",-4.06
Additional Treatments,2020,110.76,3761069,"$417,000,000.00",-0.79
Additional Treatments,2006,28.38,2908477,"$82,530,947.00",7.82
