Category,Year,Avg_Price,Units_Sold,Dollar_Sales,YOY_Change,Guess_Unit_Sales
Skin Primer,2000,30.21,11159552.61,337130084.4,14.32,1
Skin Primer,2023,20.01,16844513.86,337058722.4,14.63,1
Skin Primer,2022,6.15,81545162.1,501502746.9,8.64,1
Skin Primer,2008,36.69,9360815.685,343448327.5,-2.64,1
Skin Primer,2010,14.48,51816299.23,750300012.9,-1.35,1
Skin Primer,2014,26.43,26137951.57,690826059.9,-8.41,1
Skin Primer,2014,20.8,7943665.173,165228235.6,11.49,1
Skin Primer,2007,15.87,20278279.17,321816290.4,14.16,1
Skin Primer,2001,32.16,1095825.645,35241752.74,-3.77,1
Skin Primer,2005,25.89,36421334.15,942948341.2,-9.76,1
Skin Primer,2009,15.74,27654268.95,435278193.2,-7.39,1
Skin Primer,2024,37.67,16400240.71,617797067.6,-3.04,1
Skin Primer,2011,29.87,19711260.31,588775345.6,-0.69,1
Skin Primer,2005,36.38,24534684.28,892571814.2,14.64,1
Skin Primer,2001,19.74,30877647.9,609524769.6,-7.71,1
Skin Primer,2009,15.15,5853435.174,88679542.89,-8.48,1
Skin Primer,2011,33.49,10527786.73,352575577.7,-2.03,1
Skin Primer,2000,17.52,30544632.45,535141960.5,11.29,1
Skin Primer,2019,34.1,28675916.29,977848745.6,-9.65,1
Skin Primer,2015,8.23,33326466.14,274276816.3,-2.46,1
Skin Primer,2020,15.34,26000541.02,398848299.2,7.53,1
Skin Primer,2021,13.39,43018489.51,576017574.5,8.92,1
Skin Primer,2013,8.88,64726425.39,574770657.5,10.68,1
Skin Primer,2022,28.49,18939216.6,539578280.8,-2.28,1
Skin Primer,2012,29.31,30637204.21,897976455.5,3.38,1
Skin Primer,2015,36.58,4791915.604,175288272.8,8.18,1
Skin Primer,2024,35.17,12356730.46,434586210.2,-1.96,1
Skin Primer,2007,16.33,36511871.64,596238863.9,6.67,1
Skin Primer,2021,32.47,1825369.571,59269749.97,1.66,1
Skin Primer,2022,8.88,51255346.1,455147473.4,-6.84,1
Skin Primer,2019,10.22,6597571.849,67427184.3,-1.13,1
Skin Primer,2018,29.44,3747476.895,110325719.8,-6.17,1
Skin Primer,2020,21.26,23060179.02,490259406,-8.85,1
Skin Primer,2017,34.11,792707.6802,27039258.97,-0.71,1
Skin Primer,2021,21.72,29996933.47,651533395,-6.99,1
Skin Primer,2023,24.34,5001250.016,121730425.4,-2.11,1
Skin Primer,2020,25.12,10749960.84,270039016.2,14.25,1
Skin Primer,2020,5.74,89617253.99,514403037.9,-0.39,1
Skin Primer,2020,11.26,40889888.97,460420149.8,10.56,1
Skin Primer,2003,26.32,25616711.03,674231834.4,10.61,1
Skin Primer,2021,15.83,48750577.93,771721648.6,-1.32,1
Skin Primer,2011,22.33,14523555.66,324310997.8,-2.07,1
Skin Primer,2021,37.2,325794.25,12119546.1,0.38,1
Skin Primer,2013,30.97,10810840.74,334811737.8,-4.08,1
Skin Primer,2006,25.67,12583491.14,323018217.5,-4.95,1
Skin Primer,2008,23.97,17029029.49,408185836.9,12.2,1
Skin Primer,2013,14.53,37631890.41,546791367.7,-9.19,1
Skin Primer,2018,20.09,41930161.02,842376934.9,3.29,1
Skin Primer,2006,28.03,32942598.75,923381043,9.22,1
Skin Primer,2017,31.52,1775131.498,55952144.82,8.9,1
Skin Primer,2016,7.79,9846349.406,76703061.87,1.25,1
Skin Primer,2015,36.72,23794537.62,873735421.4,3.33,1
Skin Primer,2019,19.76,38046561.13,751800048,12.67,1
Skin Primer,2023,25.8,3584657.277,92484157.75,3.59,1
Skin Primer,2020,19.92,9456885.336,188381155.9,12.37,1
Skin Primer,2015,35.71,22205710.67,792965927.9,-8.63,1
Skin Primer,2007,34.79,16848215.59,586149420.3,6.14,1
Skin Primer,2023,37.34,8754591.776,326896456.9,7.81,1
Skin Primer,2005,17.44,21153883.05,368923720.4,-5.8,1
Skin Primer,2010,23.33,25547886.24,596032185.9,9.35,1
Skin Primer,2022,17.54,49456537.04,867467659.6,0.53,1
Skin Primer,2023,15.16,28714530.14,435312276.9,-7.96,1
Skin Primer,2016,23.8,34153199.26,812846142.5,-8.23,1
Skin Primer,2006,14.82,9665841.181,143247766.3,11.76,1
Skin Primer,2008,10.52,19943690.44,209807623.4,-2.95,1
Skin Primer,2009,31.44,11174494.71,351326113.8,-4.78,1
Skin Primer,2007,7.91,93621429.42,740545506.7,-7.66,1
Skin Primer,2010,12.25,42363769.64,518956178.1,-5.12,1
Skin Primer,2021,21.42,31508741.82,674917249.8,-4.17,1
Skin Primer,2006,7.71,10370367.09,79955530.27,7.89,1
Skin Primer,2007,23.83,30145690.69,718371809.2,-1.18,1
Skin Primer,2005,29.34,10648026.43,312413095.5,-7.44,1
Skin Primer,2006,15.95,21928826.39,349764781,12.91,1
Skin Primer,2022,26.8,16507748.76,442407666.9,-8.8,1
Skin Primer,2010,18.24,10144363.51,185033190.5,13.1,1
Skin Primer,2007,10.6,85733102.49,908770886.4,-2.35,1
Skin Primer,2006,37.15,18592472.09,690710338.1,8.56,1
Skin Primer,2018,10.25,25116995.2,257449200.8,13.94,1
Skin Primer,2016,19.32,1459085.891,28189539.41,-6.44,1
Skin Primer,2013,28.85,3546663.106,102321230.6,-8.98,1
Skin Primer,2008,38.83,24546272.09,953131745.3,1.56,1
Skin Primer,2018,21.83,38427824.83,838879416,11.39,1
Skin Primer,2024,37.54,12094119.49,454013245.6,11.4,1
Skin Primer,2013,28.1,35102530.38,986381103.8,6.32,1
Skin Primer,2024,7.73,18317798.28,141596580.7,3.83,1
Skin Primer,2004,16.99,22200630.17,377188706.6,-0.64,1
Skin Primer,2022,13.09,67148167.65,878969514.6,-1.41,1
Skin Primer,2017,27.67,30356559.69,839966006.7,-9.64,1
Skin Primer,2004,19.24,33400589.8,642627347.7,-3.15,1
Skin Primer,2005,38.74,987349.8116,38249931.7,2.1,1
Skin Primer,2004,33.25,10968463.32,364701405.5,2.84,1
Skin Primer,2015,34.84,3174539.67,110600962.1,10.89,1
Skin Primer,2005,15.54,40839436,634644835.5,-4.07,1
Skin Primer,2015,8.36,98274511.35,821574914.9,-4.22,1
Skin Primer,2009,19.24,25605576.66,492651295,2.3,1
Skin Primer,2000,16,14931145.28,238898324.5,14.88,1
Skin Primer,2015,23.11,14907686.43,344516633.4,3.69,1
Skin Primer,2008,24.09,3019500.77,72739773.55,14.09,1
Skin Primer,2014,17.69,38793824.77,686262760.1,-6.23,1
Skin Primer,2012,25.63,21572795.71,552910754,14.87,1
Skin Primer,2001,19.58,10568065.38,206922720.1,-1.19,1
Skin Primer,2006,20.66,33486114.21,691823119.5,1.56,1
Skin Primer,2016,22.43,18095568.62,405883604.1,14.24,1
Skin Primer,2000,27.15,36755715.46,997917674.8,-3.92,1
Skin Primer,2021,13.94,4816382.907,67140377.72,3.63,1
Skin Primer,2018,39.44,13090795.64,516300979.9,11.99,1
Skin Primer,2012,30.08,21035112.24,632736176.1,4.49,1
Skin Primer,2014,37.41,3824581.534,143077595.2,0.02,1
Skin Primer,2013,12.68,12518580.06,158735595.2,4.02,1
Skin Primer,2015,10.66,3343101.925,35637466.52,-8.16,1
Skin Primer,2022,36.35,21214321.61,771140590.7,2.5,1
Skin Primer,2021,36.32,18856398.37,684864388.8,7.84,1
Skin Primer,2014,31.73,28064049.22,890472281.9,-2.75,1
Skin Primer,2000,37.76,24342407.2,919169296,-4.78,1
Skin Primer,2015,25.83,4365364.201,112757357.3,14.03,1
Skin Primer,2007,33.5,10340788.92,346416428.8,12.31,1
Skin Primer,2023,5.21,12978226.76,67616561.44,0.79,1
Skin Primer,2024,24.31,40124848.91,975435077,12.16,1
Skin Primer,2010,16.65,11418546.22,190118794.5,-9.4,1
Skin Primer,2007,19.18,2726388.843,52292138,14.6,1
Skin Primer,2018,30.27,19874739.46,601608363.4,3.05,1
Skin Primer,2014,29.83,18171199.52,542046881.8,-2.28,1
Skin Primer,2004,14.35,66264691.74,950898326.5,-5.35,1
Skin Primer,2023,37.33,26626634.45,993972264.2,-3.92,1
Skin Primer,2023,29.25,5981590.386,174961518.8,-5.58,1
Skin Primer,2007,18.13,11226029.82,203527920.6,6.25,1
Skin Primer,2008,30.08,7040029.644,211764091.7,-0.45,1
Skin Primer,2004,5.12,61844023.46,316641400.1,-7.15,1
Skin Primer,2009,37.78,13369979.29,505117817.7,-5.11,1
Skin Primer,2021,19.66,42032509.13,826359129.4,1.5,1
Skin Primer,2023,28.6,11742443.59,335833886.6,-7.73,1
Skin Primer,2011,8.47,2558801.024,21673044.67,-1.95,1
Skin Primer,2002,38.63,14846393.41,573516177.5,10.12,1
Skin Primer,2015,17.98,45551947.09,819024008.7,12.41,1
Skin Primer,2000,19.6,49304263.24,966363559.5,-5.79,1
Skin Primer,2023,11.87,66405824,788237130.9,4.39,1
Skin Primer,2013,15.11,42607126.13,643793675.8,8.81,1
Skin Primer,2019,29.97,8948049.633,268173047.5,-7.85,1
Skin Primer,2011,17.98,48119300.55,865185023.9,-9.44,1
Skin Primer,2019,8,26153643.59,209229148.7,11.74,1
Skin Primer,2014,17.27,30888026.01,533436209.2,-8.16,1
Skin Primer,2011,21.4,19437271.04,415957600.3,7.85,1
Skin Primer,2003,25.95,2877739.879,74677349.86,2.46,1
Skin Primer,2020,7.14,50191641.74,358368322,12.01,1
Skin Primer,2014,7.6,123747087.9,940477868.4,-7.5,1
Skin Primer,2018,31.57,13196178.1,416603342.7,11.85,1
Skin Primer,2001,34.3,17903230.99,614080823.1,-9.65,1
Skin Primer,2019,16.72,20150348.91,336913833.7,-1.14,1
Skin Primer,2018,37.41,2080219.215,77821000.85,5.53,1
Skin Primer,2000,39.46,22677805.64,894866210.6,-5.45,1
Skin Primer,2016,6.98,90111334.2,628977112.7,4.78,1
Skin Primer,2001,25.15,25912032.92,651687628,1.04,1
Skin Primer,2004,20.03,5864983.954,117475628.6,11.71,1
Skin Primer,2016,37.59,21980089.8,826231575.4,9.2,1
Skin Primer,2021,34.54,21160769.15,730892966.6,12.95,1
Skin Primer,2018,33.83,21011207.14,710809137.7,2.1,1
Skin Primer,2008,23.03,32502058.86,748522415.5,7.1,1
Skin Primer,2020,18.66,38191700.72,712657135.4,-1.27,1
Skin Primer,2006,36.74,23929185.78,879158285.5,7.63,1
Skin Primer,2005,8.74,4947834.188,43244070.8,3.13,1
Skin Primer,2006,5.74,71455574.44,410154997.3,-4.16,1
Skin Primer,2001,26.41,33941556.69,896396512.2,7.56,1
Skin Primer,2005,34.96,26541787.22,927900881.3,-3.31,1
Skin Primer,2002,28.71,14709892.58,422321016,9.65,1
Skin Primer,2021,9.83,24028722.44,236202341.6,11.19,1
Skin Primer,2001,34.69,5540163.252,192188263.2,12.25,1
Skin Primer,2023,17.39,36663585.37,637579749.5,0.31,1
Skin Primer,2001,16.64,22194607.93,369318276,14.87,1
Skin Primer,2016,27.31,35507133.58,969699818,3.38,1
Skin Primer,2024,30.12,24155745.78,727571063,8.99,1
Skin Primer,2010,16.7,43424752.55,725193367.6,-4.54,1
Skin Primer,2021,22.33,35509159.6,792919533.9,9.35,1
Skin Primer,2017,7.37,27030333.89,199213560.8,3.94,1
Skin Primer,2002,10.11,77881962.17,787386637.5,-1.31,1
Skin Primer,2014,15.51,5226490.936,81062874.42,-5.68,1
Skin Primer,2010,14.85,63255283.23,939340956,-0.65,1
Skin Primer,2016,15.66,19815101.64,310304491.7,12.91,1
Skin Primer,2003,13.76,56133915.35,772402675.2,1.4,1
Skin Primer,2017,24.45,10711264.4,261890414.5,1.74,1
Skin Primer,2002,22.13,32002803.15,708222033.7,5.61,1
Skin Primer,2015,7.46,29754580.75,221969172.4,2.53,1
Skin Primer,2003,19.17,17932582.18,343767600.3,9.84,1
Skin Primer,2020,5.61,43297369.47,242898242.7,10.15,1
Skin Primer,2022,14.56,65737690.05,957140767.1,6.9,1
Skin Primer,2015,9.79,56617156.35,554281960.7,2.45,1
Skin Primer,2006,31.17,4634925.358,144470623.4,-8.63,1
Skin Primer,2011,15.94,39318233.73,626732645.7,5.71,1
Skin Primer,2001,18.55,29034173.09,538583910.8,-2.64,1
Skin Primer,2001,11.21,47591849.09,533504628.3,6.7,1
Skin Primer,2017,7.78,61906771.84,481634684.9,1.24,1
Skin Primer,2013,9.87,39041844.03,385343000.6,0.17,1
Skin Primer,2005,16.74,44934817.81,752208850.2,-5.97,1
Skin Primer,2001,18.56,15629409.31,290081836.8,1.61,1
Skin Primer,2014,19.59,29522432.15,578344445.8,14.29,1
Skin Primer,2019,35.98,1955546.276,70360555,-9.51,1
Skin Primer,2019,24.87,10306713.24,256327958.2,3.61,1
Skin Primer,2019,26.42,36343677.72,960199965.3,4.52,1
Skin Primer,2020,32.63,19209492.97,626805755.6,-4.39,1
Skin Primer,2001,31.75,327818.4964,10408237.26,-7.05,1
Skin Primer,2000,31.78,30448211.84,967644172.3,-7.49,1
Skin Primer,2002,38.43,22646665.44,870311353,4.32,1
Skin Primer,2018,21.39,3530412.3,75515519.1,13.88,1
Skin Primer,2000,34.43,21842136.51,752024760.2,9.32,1
Skin Primer,2024,11.63,31215943.09,363041418.1,1.02,1
Skin Primer,2015,21.45,1477815.035,31699132.5,5.67,1
Skin Primer,2018,12.79,17997446.51,230187340.9,0.65,1
Skin Primer,2012,38.36,10104174.87,387596148,-0.71,1
Skin Primer,2024,31.31,20199518.28,632446917.2,6.15,1
Skin Primer,2014,24.15,3668159.677,88586056.21,13.38,1
Skin Primer,2024,15.12,18499724.16,279715829.3,14.99,1
Skin Primer,2005,18.51,16966420.81,314048449.2,-4.1,1
Skin Primer,2013,34.58,4751994.083,164323955.4,-9.94,1
Skin Primer,2017,38.24,21110857.07,807279174.3,2.11,1
Skin Primer,2007,27.88,10731916.8,299205840.5,10.16,1
Skin Primer,2007,38.49,11223874.04,432006911.7,0.18,1
Skin Primer,2004,19.13,40474717.56,774281347,13.48,1
Skin Primer,2001,39.81,8514063.218,338944856.7,2.48,1
Skin Primer,2004,14.89,18799770.3,279928579.7,-0.65,1
Skin Primer,2013,19.26,22469646.72,432765395.9,-2.86,1
Skin Primer,2023,36.4,15185341.82,552746442.4,10.77,1
Skin Primer,2023,10.8,13302987.98,143672270.2,1.51,1
Skin Primer,2000,6.45,100855431.8,650517535.4,0.01,1
Skin Primer,2014,21.16,40009431.06,846599561.3,9.72,1
Skin Primer,2000,10.4,81586897.98,848503739,-2.4,1
Skin Primer,2004,24.35,17737337.96,431904179.4,14.13,1
Skin Primer,2004,31.27,31564561.18,987023828.1,-1.3,1
Skin Primer,2017,5.27,184901363.8,974430187.2,-9.28,1
Skin Primer,2006,19.47,11195117.71,217968941.8,-2.54,1
Skin Primer,2008,25.26,14699461.52,371308397.9,-8.24,1
Skin Primer,2014,22.4,22307858.08,499696021.1,-4.72,1
Skin Primer,2014,12.71,49111460.85,624206667.4,12.32,1
Skin Primer,2022,8.78,65405589.46,574261075.5,10.66,1
Skin Primer,2015,32.52,22160184.43,720649197.6,-2.73,1
Skin Primer,2000,32.74,24708961.17,808971388.8,12.09,1
Skin Primer,2021,16.58,20689081.14,343024965.3,1.18,1
Skin Primer,2017,24.18,10491713.15,253689624,0.33,1
Skin Primer,2013,13.26,13790445.51,182861307.4,13.89,1
Skin Primer,2018,21.24,16530240.58,351102309.9,3.53,1
Skin Primer,2020,34.25,3804065.515,130289243.9,12.09,1
Skin Primer,2008,23.64,19456558.98,459953054.3,-4.64,1
Skin Primer,2024,10.28,12570427.38,129223993.5,14.96,1
Skin Primer,2006,5.41,151689410.5,820639710.7,10.3,1
Skin Primer,2002,9.37,20622907.02,193236638.8,9.95,1
Skin Primer,2019,10.68,3673147.593,39229216.29,1.25,1
Skin Primer,2008,21.56,25866011.24,557671202.4,2.86,1
Skin Primer,2024,34.33,15291391.58,524953473,9.18,1
Skin Primer,2005,22.37,9870527.416,220803698.3,3.35,1
Skin Primer,2004,39.01,7386518.736,288148095.9,-8.95,1
Skin Primer,2007,14.34,26550395.17,380732666.8,-8.86,1
Skin Primer,2020,23.52,13425376.77,315764861.6,-9.03,1
Skin Primer,2020,32,18618918,595805375.9,7.6,1
Skin Primer,2008,7.21,109337099.8,788320489.7,2.79,1
Skin Primer,2015,16.94,49144681.99,832510912.9,0.94,1
Skin Primer,2010,23.38,15655387.85,366022968,-0.48,1
Skin Primer,2015,36.47,23738542.1,865744630.4,-7.01,1
Skin Primer,2008,29.9,10804236.87,323046682.5,-3.46,1
Skin Primer,2009,27.8,27028645.01,751396331.3,-9.67,1
Skin Primer,2007,29.31,32825517.17,962115908.2,10.37,1
Skin Primer,2018,24.85,35608412.65,884869054.4,-3.58,1
Skin Primer,2015,20.14,20732324.67,417549018.8,4.83,1
Skin Primer,2002,38.41,6978477.665,268043327.1,5.63,1
Skin Primer,2018,27.17,31453765.66,854598812.9,-2.06,1
Skin Primer,2019,5.26,10190932.14,53604303.08,6.03,1
Skin Primer,2016,18.06,8652935.432,156272013.9,-5.59,1
Skin Primer,2014,18.41,30519133.53,561857248.3,12.29,1
Skin Primer,2013,39.82,17378247.9,692001831.4,-2.61,1
Skin Primer,2023,17.74,54407912.78,965196372.8,9.63,1
Skin Primer,2018,22.42,36989287.31,829299821.6,12.87,1
Skin Primer,2009,13.83,60246025.74,833202536,12.37,1
Skin Primer,2000,36.98,24889887.26,920428030.8,-8.8,1
Skin Primer,2018,34.43,27560485.29,948907508.7,5.17,1
Skin Primer,2011,18.87,50734999.63,957369443,2.33,1
Skin Primer,2011,27.06,13319006.03,360412303.3,14.53,1
Skin Primer,2004,28.94,12964979.31,375206501.1,9.71,1
Skin Primer,2005,31.95,1562323.546,49916237.28,-1.21,1
Skin Primer,2011,12.56,19432783,244075754.5,14.47,1
Skin Primer,2011,37.33,24048130.19,897716700.1,13.61,1
Skin Primer,2002,25.84,28415859.14,734265800.3,-8.08,1
Skin Primer,2018,33.01,24745273,816841461.7,-3.43,1
Skin Primer,2024,19.3,42434134.27,818978791.4,13.15,1
Skin Primer,2007,27.58,17752415.88,489611630,-2.56,1
Skin Primer,2000,6.75,16929213.04,114272188,-8.13,1
Skin Primer,2008,17.99,10258480.08,184550056.6,3.04,1
Skin Primer,2014,21.94,5561838.674,122026740.5,-6.66,1
Skin Primer,2009,16.95,9930373.982,168319839,7.57,1
Skin Primer,2003,25.1,22078505.65,554170491.9,-2.12,1
Skin Primer,2008,36.72,17063109.32,626557374.3,1.56,1
Skin Primer,2019,32.16,8426929.117,271010040.4,13.51,1
Skin Primer,2006,5.83,143213482.3,834934601.7,2.61,1
Skin Primer,2013,39.2,14055481.55,550974876.6,14.78,1
Skin Primer,2011,13.31,35406177.91,471256228,5.73,1
Skin Primer,2014,25.02,30689887.71,767860990.5,11.18,1
Skin Primer,2018,24.28,38657591.73,938606327.2,-7.81,1
Skin Primer,2024,18.21,6532719.758,118960826.8,-7.68,1
Skin Primer,2008,7.69,8471289.476,65144216.07,-6.56,1
Skin Primer,2013,27.08,6346666.732,171867735.1,9.33,1
Skin Primer,2005,24.14,38191361.82,921939474.4,4.25,1
Skin Primer,2019,29.9,20740638.83,620145100.9,0.94,1
Skin Primer,2015,34.84,915971.5304,31912448.12,-0.26,1
Skin Primer,2002,35.04,856118.6607,29998397.87,2.33,1
Skin Primer,2009,27.74,31932641.29,885811469.5,13.46,1
Skin Primer,2019,12.12,12190650.94,147750689.4,6.42,1
Skin Primer,2002,28.79,31159817.84,897091155.6,11.38,1
Skin Primer,2005,35.16,7053138.706,247988356.9,-4.66,1
Skin Primer,2021,21.91,45042736.3,986886352.4,14.34,1
Skin Primer,2016,13.97,41471507.86,579356964.8,12.72,1
Skin Primer,2003,26.24,13600011.31,356864296.9,2.63,1
Skin Primer,2001,37.88,23509421.62,890536891.1,-4.09,1
Skin Primer,2014,11.65,44181031.98,514709022.6,14.43,1
Skin Primer,2023,28.59,33358039.02,953706335.6,-7.43,1
Skin Primer,2009,12.32,11090409.57,136633845.9,-9.95,1
Skin Primer,2008,15.63,30026363.82,469312066.5,-9.13,1
Skin Primer,2014,6.23,147153274.8,916764901.8,1.02,1
Skin Primer,2021,31.87,2829352.951,90171478.55,-3.53,1
Skin Primer,2000,6.74,92384101.1,622668841.4,11.37,1
Skin Primer,2008,31.75,28688242.43,910851697.3,12.23,1
Skin Primer,2019,34.76,459529.7287,15973253.37,-7.8,1
Skin Primer,2007,11.78,77200866.54,909426207.9,1.66,1
Skin Primer,2021,28.53,2319588.936,66177872.34,1.04,1
Skin Primer,2012,10.66,24217263.79,258156032,8.45,1
Skin Primer,2004,28.34,4614313.557,130769646.2,-5.26,1
Skin Primer,2013,39.79,8371162.963,333088574.3,13.9,1
Skin Primer,2006,18.86,28272360.29,533216715.1,-0.37,1
Skin Primer,2023,7.68,40957772.19,314555690.4,12.9,1
Skin Primer,2023,28.54,19665284.7,561247225.3,7.85,1
Skin Primer,2003,10.12,69935790.28,707750197.6,-2.85,1
Skin Primer,2011,26.59,8526722.189,226725543,-3.77,1
Skin Primer,2007,13.01,52393483.68,681639222.7,7.81,1
Skin Primer,2016,32.99,2598957.442,85739606.01,-1.22,1
Skin Primer,2005,15.95,10870157.53,173379012.6,11.6,1
Skin Primer,2024,16.58,39380212.72,652923926.9,-0.65,1
Skin Primer,2006,15.54,55588529.03,863845741.1,-3.79,1
Skin Primer,2007,39.51,7593149.048,300005318.9,2.03,1
Skin Primer,2021,19.57,34076334.8,666873872.1,1.22,1
Skin Primer,2018,8.7,3581579.087,31159738.06,3.72,1
Skin Primer,2011,7.28,19877159.15,144705718.6,6.53,1
Skin Primer,2000,34.19,2068352.016,70716955.41,-7.89,1
Skin Primer,2000,15.29,27089121.39,414192666,-8.47,1
Skin Primer,2010,5.64,135400176.7,763656996.6,-1.35,1
