Category,Year,Units sold,Avg Price USD,Dollar Sales UD
Beauty Care,2002,35.3,144965098,6.53
Beauty Care,2000,51.73,178795330.1,29.17
Beauty Care,2022,28.67,87960448.77,45.81
Beauty Care,2017,12.35,47896819.75,45.32
Beauty Care,2004,38.2,73163734.2,8.85
Beauty Care,2002,59.3,21100185.3,-20.18
Beauty Care,2007,18.58,69291360.16,-15.57
Beauty Care,2002,28.59,107500973.1,-8.68
Beauty Care,2002,41.49,235622166.4,-22.43
Beauty Care,2006,24.76,106865299,20.17
Beauty Care,2005,36.71,15080137.61,18.32
Beauty Care,2009,54.3,41254370.7,37.11
Beauty Care,2005,10.36,35944724.48,15.85
Beauty Care,2025,23.47,45330145.76,40.32
Beauty Care,2004,33.75,105273776.3,-25.36
Beauty Care,2023,41.47,221997245.5,26.97
Beauty Care,2017,45.97,114475229.5,-20.74
Beauty Care,2006,12.63,35301898.29,-10.36
Beauty Care,2023,7.07,5283403.93,23.83
Beauty Care,2000,30.85,25100824.85,29.94
Beauty Care,2004,15.72,32001927.12,45.74
Beauty Care,2006,14.73,40387538.88,35.26
Beauty Care,2010,47.22,70063997.16,0.53
Beauty Care,2025,28.28,56500809.96,22.58
Beauty Care,2007,49.24,161896934.6,-31.72
Beauty Care,2018,39.4,71790149,39.28
Beauty Care,2005,3.64,18508096.88,38.53
Beauty Care,2011,39.83,38241021.98,-25.38
Beauty Care,2022,25.16,46985671,45.57
Beauty Care,2025,33.83,28598021.35,4.58
Beauty Care,2000,48.68,142854721.6,-5.82
Beauty Care,2010,58.57,154573727,13.8
Beauty Care,2023,42.4,192009078.4,-47.11
Beauty Care,2015,35.52,152202489.6,2.75
Beauty Care,2012,59.33,190660752.1,-2.87
Beauty Care,2024,6.13,10515457.17,-20.18
Beauty Care,2010,49.49,68999601.37,-33.48
Beauty Care,2013,28.05,114459175.1,33.84
Beauty Care,2024,28.13,66918035.05,13.43
Beauty Care,2009,49.47,99741562.41,41.39
Beauty Care,2019,11.77,21115485.93,-11.96
Beauty Care,2008,52.28,134179286.3,-19.54
Beauty Care,2024,17.71,87810501.24,-48.54
Beauty Care,2001,10.56,6270707.52,-41.08
Beauty Care,2002,42.51,133939785.3,-48.73
Beauty Care,2018,23.99,140394062.1,22.38
Beauty Care,2004,13.28,47576702.24,-22.27
Beauty Care,2022,41.09,99470055.65,-21.48
Beauty Care,2013,43.77,44328680.28,13.9
Beauty Care,2006,27.44,76084150.24,47.62
Beauty Care,2018,18.4,91012214.4,-15.77
Beauty Care,2021,43.63,207235562.8,-43.99
Beauty Care,2016,27.39,132229114.4,-6.07
Beauty Care,2019,59.58,47674307.34,14.97
Beauty Care,2015,30.78,156855649.5,-7.63
Beauty Care,2020,45.96,92399638.56,36.01
Beauty Care,2004,56.22,115920355.3,-25.59
Beauty Care,2003,17.3,75265258.9,-5.46
Beauty Care,2023,20.5,83783192.5,-35.85
Beauty Care,2014,8.02,10848613.9,42.46
Beauty Care,2001,51.72,295776594.6,7.68
Beauty Care,2012,15.62,82040879.14,49.98
Beauty Care,2004,12.85,44123841.7,-15.34
Beauty Care,2008,8.22,1934141.34,-11.89
Beauty Care,2004,28.21,114030744.1,37.14
Beauty Care,2025,50.22,156905761,-45.02
Beauty Care,2007,14.34,80828284.74,-0.67
Beauty Care,2004,14.74,57279138.84,42.35
Beauty Care,2005,24.09,102396399.9,40.28
Beauty Care,2002,10.67,11382041.11,-18.85
Beauty Care,2000,3.91,10996190.75,-8.35
Beauty Care,2006,18.68,90796755.2,38.15
Beauty Care,2002,34.91,179990758.4,24.21
Beauty Care,2013,18.91,81130613.05,6.03
Beauty Care,2018,54.47,320838268,-33.03
Beauty Care,2009,29.63,98425822.9,49.19
Beauty Care,2019,18.08,68580911.36,21.91
Beauty Care,2019,54.58,27548327.14,-26.4
Beauty Care,2015,10.01,54891796.96,45.6
Beauty Care,2001,42.91,122077319.4,21.79
Beauty Care,2015,19.65,55518500.85,-3.65
Beauty Care,2002,52.42,298453532.1,21.09
Beauty Care,2022,46.86,98874412.56,23.52
Beauty Care,2019,15.81,74681934.15,0.82
Beauty Care,2022,49.99,47905367.01,-9.86
Beauty Care,2005,22.25,71949958.5,-30.57
Beauty Care,2007,32.47,105330537,-49.21
Beauty Care,2023,16.99,86565613.08,-18.42
Beauty Care,2005,48.05,275537199.3,24.24
Beauty Care,2012,50.83,31380713.78,37.34
Beauty Care,2008,16.6,3969641,32.52
Beauty Care,2007,49.03,271740145.7,-9.65
Beauty Care,2021,11.43,5794164.18,16.12
Beauty Care,2013,27.2,121281019.2,-25.88
Beauty Care,2011,30.87,46897518.78,12.04
Beauty Care,2002,45.68,188495824.9,16.47
Beauty Care,2013,21.68,81527509.92,-15.93
Beauty Care,2011,25.73,110274714.7,-47.66
Beauty Care,2021,26.94,124856689.7,13.05
Beauty Care,2018,50.07,114539381,-1.18
Beauty Care,2002,28.24,38227245.44,-30.44
Beauty Care,2008,21.89,31005411.91,4.19
Beauty Care,2023,50.78,79985152.18,-5.93
Beauty Care,2012,15.43,29670424.15,27.04
Beauty Care,2023,38.81,138485024.4,41.94
Beauty Care,2000,10.97,27794140.5,-40.83
Beauty Care,2002,56.78,151216836.7,-38.36
Beauty Care,2021,36.44,30823247.72,-46.07
Beauty Care,2017,5.42,7164752.2,-49.21
Beauty Care,2001,6.82,3535651.68,-47.08
Beauty Care,2012,36.36,173789564.8,44.15
Beauty Care,2009,18.62,78728134.38,46.69
Beauty Care,2023,59.29,251963171.5,-20.09
Beauty Care,2018,29.1,48284291.4,-37.38
Beauty Care,2000,13.91,62659751.05,16.03
Beauty Care,2020,35.38,60249061.94,-24.67
Beauty Care,2025,52.31,234274572.1,37.13
Beauty Care,2014,41.98,183783444.4,-42.76
Beauty Care,2010,50.02,131233122.3,-29.4
Beauty Care,2013,52.89,128503606.7,40.63
Beauty Care,2022,24.21,63690384.87,-4.33
Beauty Care,2008,10.6,50501611.8,7.47
Beauty Care,2014,5.11,10938997.44,-35.86
Beauty Care,2007,21.46,21222588.02,25.44
Beauty Care,2010,49.12,21682304.8,-35.35
Beauty Care,2003,28.42,67002395.18,-9.6
Beauty Care,2024,13.59,1768901.58,20.59
Beauty Care,2022,19.29,21830010.75,-6.32
Beauty Care,2025,31.99,112617084.2,42.38
Beauty Care,2013,24.27,60555276.09,29.44
Beauty Care,2004,6.03,19029805.65,-23.25
Beauty Care,2009,18.54,106778163.6,-12.79
Beauty Care,2005,28.95,47787938.7,21.58
Beauty Care,2017,46.51,57483987.99,-16.14
Beauty Care,2023,45.22,88310771.08,25.67
Beauty Care,2017,25.82,102672662,-16.62
Beauty Care,2024,39.39,2482475.97,-25.65
Beauty Care,2009,32.85,25556511.6,0.73
Beauty Care,2016,28.52,50172127.32,24.65
Beauty Care,2000,39.97,44045860.81,5.51
Beauty Care,2019,48.09,235075076.9,0.04
Beauty Care,2004,42.64,31982728.96,-14.62
Beauty Care,2019,50.53,86498921.49,48.18
Beauty Care,2010,42.16,45759157.04,31.29
Beauty Care,2007,20.28,68423036.76,29.33
Beauty Care,2013,30.65,88993807.5,22.32
Blades and Razors,2000,33.78,89449440,7.68
Blades and Razors,2015,10.08,28274873.76,-38.8
Blades and Razors,2017,41.31,225800625.2,-25.73
Blades and Razors,2004,13,42855462,49.93
Blades and Razors,2004,51.12,239377732.6,-17.6
Blades and Razors,2010,24.05,84966942.45,-43.77
Blades and Razors,2008,47.38,31022955.22,-5.68
Blades and Razors,2007,25.16,96581314.6,42.1
Blades and Razors,2010,13.53,17706602.76,2.81
Blades and Razors,2006,18.21,62728332.99,4.76
Blades and Razors,2003,31.46,74357251.54,-49.09
Blades and Razors,2015,50.25,228351828.8,-12.7
Blades and Razors,2022,18.87,88352189.37,-13.53
Blades and Razors,2010,14.71,87844457.21,49.15
Blades and Razors,2001,17.33,22071210.72,-0.99
Blades and Razors,2000,13.61,51338852.62,-20.05
Blades and Razors,2020,47.64,199627273.6,16.3
Blades and Razors,2012,8.7,39736919.4,-32.94
Blades and Razors,2024,54.69,100820413.4,-2.86
Blades and Razors,2003,16.36,61958657.44,-18.41
Blades and Razors,2020,27.65,116190028.2,30.91
Blades and Razors,2015,6.42,27820273.92,20.51
Blades and Razors,2005,55.52,314799454.9,45.44
Blades and Razors,2004,59.52,66593535.36,7.11
Blades and Razors,2011,16.34,96903585.68,-4.77
Blades and Razors,2003,26.82,150388778.3,25.34
Blades and Razors,2011,37.48,217832148.4,-44.91
Blades and Razors,2014,52.52,218801313.6,-42.53
Blades and Razors,2010,23.26,113910035,46.19
Blades and Razors,2000,6.56,31320700.32,45.22
Blades and Razors,2001,40.28,137701691.4,49.58
Blades and Razors,2021,31.21,141334110.5,27.48
Blades and Razors,2005,55.25,108177621.5,-12.38
Blades and Razors,2000,50.24,78800535.68,-4.34
Blades and Razors,2002,4.29,234821.73,47.27
Blades and Razors,2012,56.7,156258792.9,-28
Blades and Razors,2016,27.59,96629753.73,-4.55
Blades and Razors,2006,22.26,130781863,20.26
Blades and Razors,2007,53.59,268423414.1,3.87
Blades and Razors,2014,5.99,3076751.52,30.26
Blades and Razors,2000,56.75,252109832,4.57
Blades and Razors,2012,56.44,115382323.8,-32.99
Blades and Razors,2022,4.43,8124464.95,25.05
Blades and Razors,2020,56.64,162818703.4,2.52
Blades and Razors,2017,35.1,58498748.1,-43.31
Blades and Razors,2014,54.03,99716255.16,-49.99
Blades and Razors,2018,47.72,39245643.8,-22.86
Blades and Razors,2002,14.9,25863420,-22.07
Blades and Razors,2001,30.11,84259673.45,-13.29
Blades and Razors,2019,38.43,156842975.5,24.17
Blades and Razors,2019,41.81,179426946,34.9
Blades and Razors,2024,49.64,103111115.9,-11.55
Blades and Razors,2016,46.95,236031688.1,-0.81
Blades and Razors,2013,26.61,25318590.09,2.65
Blades and Razors,2005,41.82,22770990,37.4
Blades and Razors,2021,44.11,104180938.8,-41.59
Blades and Razors,2013,44.16,117830096.6,-5.31
Blades and Razors,2012,41.67,200574794.7,23.09
Blades and Razors,2004,28.38,9601039.14,48.93
Blades and Razors,2013,7.51,9002882.86,-42.06
Blades and Razors,2013,8.72,40001194.96,-7.07
Blades and Razors,2000,6.24,34963231.68,37.25
Blades and Razors,2021,6.75,12671133.75,12.24
Blades and Razors,2011,36.86,143496127.4,-26.27
Blades and Razors,2007,9.18,19617623.28,21.55
Blades and Razors,2017,23.22,25853194.44,-17.02
Blades and Razors,2021,59.4,12105304.2,44.27
Blades and Razors,2007,37.17,26502656.04,-2.54
Blades and Razors,2025,19.56,73258928.64,47.57
Blades and Razors,2002,36.09,175233876.2,-11.05
Blades and Razors,2016,9.46,42719449.08,21.45
Blades and Razors,2017,18.66,84625563.12,-8.69
Blades and Razors,2020,27.52,4822935.04,-29.29
Blades and Razors,2009,30.62,172186517.7,-9.02
Blades and Razors,2020,39.01,201998500.2,-9.22
Blades and Razors,2002,5.52,27122216.4,-5.12
Blades and Razors,2010,37.37,72798815.35,-2.8
Blades and Razors,2016,39.57,99610668.96,-45.89
Blades and Razors,2012,7.1,14427569.2,32.55
Blades and Razors,2007,42.47,79440602.17,14.35
Blades and Razors,2023,38.1,124596105.9,-10.12
Blades and Razors,2024,23.06,36956163.54,42.34
Blades and Razors,2025,36.46,191936924.9,25.21
Blades and Razors,2001,14.27,56463107.9,47.74
Blades and Razors,2012,15.68,69399774.08,-26.55
Blades and Razors,2007,11.54,11005940.34,14.12
Blades and Razors,2022,35.11,163262764,46.67
Blades and Razors,2008,20.88,27021664.08,13.4
Blades and Razors,2022,4.19,1637958.99,47.98
Blades and Razors,2015,56.25,276909412.5,43.78
Blades and Razors,2005,5.59,30554492.8,37.21
Blades and Razors,2001,38.22,204439659.1,-22.49
Blades and Razors,2005,46.35,43823785.95,-37.13
Blades and Razors,2017,46.02,194313697.5,35.26
Blades and Razors,2014,58.34,35259762.56,9.98
Blades and Razors,2012,32.23,92012331.18,9.31
Blades and Razors,2003,42.28,53524112.32,-27.17
Blades and Razors,2004,11.08,20044562.08,24.49
Blades and Razors,2014,5.77,6552048.49,-27.79
Blades and Razors,2011,33.89,110826908.6,-40.32
Blades and Razors,2020,53.41,259221269,43.91
Blades and Razors,2009,41.59,62006073.51,18.12
Blades and Razors,2025,36.75,216642352.5,0
Blades and Razors,2010,41.14,232711043,22.17
Blades and Razors,2021,42.96,135243321.1,-0.24
Blades and Razors,2000,9.97,10955883.45,-34.77
Blades and Razors,2011,36.66,68296113.6,43.58
Blades and Razors,2014,57.25,242135268.3,12.34
Blades and Razors,2002,13.24,53858254.56,-45.12
Blades and Razors,2008,13.95,64145824.65,9.16
Blades and Razors,2013,12.24,65883538.08,35.28
Blades and Razors,2022,36.79,140124721.9,-24.28
Blades and Razors,2003,6.05,23817168.1,44.87
Blades and Razors,2019,14.28,14100528.96,-21.16
Blades and Razors,2000,28.97,33825545.82,3.08
Blades and Razors,2008,36.03,209442173.8,30.03
Blades and Razors,2008,42.42,186883134.1,15.15
Blades and Razors,2001,50.38,150821799.9,-14.91
Blades and Razors,2021,32.54,146834211.9,14.96
Blades and Razors,2015,45.67,87071636.13,44.19
Blades and Razors,2006,36.07,146568100.5,-29.73
Blades and Razors,2022,59.16,84012701.88,40.36
Blades and Razors,2000,45.57,268551027.8,14.5
Blades and Razors,2005,59.53,222737031.3,46.48
Blades and Razors,2003,36.63,71844543.54,16.74
Blades and Razors,2023,10.76,51694902.84,-46.15
Blades and Razors,2013,16.83,88735787.91,-47.46
Blades and Razors,2014,22.53,41569539.75,1.42
Blades and Razors,2020,47.61,61343247.33,36.56
Blades and Razors,2005,23.72,69157225.52,48.5
Blades and Razors,2009,20.68,74521289.92,-33.63
Blades and Razors,2025,18.94,26074281.32,-36.9
Blades and Razors,2012,43.9,39008749.8,2.56
Blades and Razors,2007,30.12,94315990.92,-41.75
Blades and Razors,2000,12.26,9637782.16,9.81
Blades and Razors,2000,31.84,113395389.9,47.92
Blades and Razors,2025,33.37,146653341.4,41.15
Blades and Razors,2017,51.29,286608981.6,45.41
Blades and Razors,2019,44.98,98053611.24,13.03
Blades and Razors,2022,44.65,219722158.9,-9.88
Blades and Razors,2013,47.81,72957725.33,-9.13
Blades and Razors,2009,57.35,322371174.7,-41.36
Blades and Razors,2002,32.37,2393793.87,-13.23
Blades and Razors,2015,32.47,122333614.8,-17.46
Blades and Razors,2001,49.77,98127577.17,38.16
Blades and Razors,2023,27.87,122011515.6,25.4
Blades and Razors,2016,56.24,100539966.8,-37.71
Blades and Razors,2016,15.37,82706554.06,-11.77
Blades and Razors,2022,51.48,143654785.6,39.11
Blades and Razors,2010,24.07,50571045.93,12.47
Blades and Razors,2002,22.44,43784681.16,-47.97
Blades and Razors,2016,12.37,44976157.22,-39.91
Blades and Razors,2014,42.39,66828216.51,-11.64
Blades and Razors,2003,53.92,80902700.32,46.14
Blades and Razors,2023,30.97,158558193,46.94
Blades and Razors,2001,52.12,108408140.6,27.88
Blades and Razors,2020,29.12,29067059.84,-47.38
Blades and Razors,2025,44.39,127074587.2,20.65
Blades and Razors,2017,24.36,25176157.44,-26.69
Blades and Razors,2010,46.32,217822116,45.34
Blades and Razors,2003,16.88,23878684.32,-33.94
Blades and Razors,2013,55.68,139827346.6,3.54
Blades and Razors,2022,21.77,17835856.22,-23.64
Blades and Razors,2001,21.52,67461369.44,-23.18
Blades and Razors,2016,46.45,96655947,23.4
Blades and Razors,2006,45.19,131883219,36.78
Blades and Razors,2014,22.18,51705683.3,-47.91
Blades and Razors,2003,29.53,10562083.69,-47.19
Blades and Razors,2012,38.42,93006598.12,-11.83
Blades and Razors,2005,7.98,24419781.54,42.2
Blades and Razors,2009,52.33,297865709.1,-29.52
Blades and Razors,2005,33.78,6315339.9,-1.81
Blades and Razors,2004,44.73,53734149,19.16
Blades and Razors,2017,45.23,94735591.9,-0.9
Blades and Razors,2019,24.26,82440938.5,-47.62
Blades and Razors,2020,38.64,53217596.88,35.8
Blades and Razors,2012,31.68,130042123.2,2.84
Blades and Razors,2017,57.57,125083490.4,46.76
Blades and Razors,2010,53,60736410,-44.48
Blades and Razors,2013,53.54,49351137.48,24.98
Blades and Razors,2011,38.83,134922368,-16.93
Blades and Razors,2005,57.42,30762190.8,0.28
Blades and Razors,2025,53.47,51963696.63,-38.92
Blades and Razors,2009,58.16,128328818.6,38.2
Blades and Razors,2007,14.69,13566993.57,34.73
Blades and Razors,2014,39.17,206175799.6,-21.64
Blades and Razors,2020,46.27,71108291.24,-32.29
Blades and Razors,2010,35.4,42781820.4,-48.08
Blades and Razors,2000,57.23,231264140.8,-5.12
Blades and Razors,2009,44.2,19383821.6,-8.73
Blades and Razors,2003,47.98,21865157.72,-5.59
Blades and Razors,2004,30.95,180184524.3,-38.91
Blades and Razors,2004,22.14,79776242.82,49.91
Blades and Razors,2020,42.11,247021471,-42.28
Blades and Razors,2010,55.58,79776197.2,48.62
Blades and Razors,2023,5.32,30002714.56,19.35
Blades and Razors,2024,3.71,3351851.44,46.43
Blades and Razors,2007,45.9,155901094.2,-31.55
Blades and Razors,2000,16.17,72033081.12,-31.54
Blades and Razors,2016,9.43,40850345.08,24.47
Blades and Razors,2008,43.92,80835243.12,27.09
Blades and Razors,2001,24,46490088,15.32
Blades and Razors,2023,16.34,55227925.48,-3.62
Blades and Razors,2005,24.88,74450439.28,0.02
Blades and Razors,2006,38.3,193069189.3,27.98
Blades and Razors,2010,38.69,116017265.5,20.38
Blades and Razors,2024,8.33,46313925.35,43.05
Blades and Razors,2008,15.51,69918475.11,-3.37
Blades and Razors,2021,59.76,186843883,17.55
Blades and Razors,2020,3.37,14494380.11,-41.43
Blades and Razors,2014,34.98,99395285.22,-1.23
Blades and Razors,2022,34.4,32416943.2,45.45
Blades and Razors,2008,44.7,98048153.7,41.27
Blades and Razors,2025,25.12,16150677.92,15.7
Blades and Razors,2020,33.53,169150434,-7.08
Blades and Razors,2014,11.43,19710829.26,-42.67
Blades and Razors,2000,34.07,160315499.2,-48.59
Blades and Razors,2019,45.59,57572647.65,20.55
Blades and Razors,2019,18.91,9759488.82,-7.31
Blades and Razors,2017,34.59,98644868.88,29.25
Blades and Razors,2023,35.67,95105315.85,-28.52
Blades and Razors,2012,36.19,161242844.1,-43.04
Blades and Razors,2015,19.95,112362370.1,-20.98
Blades and Razors,2002,7.36,40830446.4,-28.23
Blades and Razors,2018,33.32,167734912.5,-46.21
Blades and Razors,2007,27.44,62329246.56,5.06
Blades and Razors,2012,38.41,80561479.69,-47.65
Blades and Razors,2006,9.28,8197552.96,7.1
Blades and Razors,2007,10.73,36117512.63,-5.17
Blades and Razors,2019,45.84,21608563.44,-24.82
Blades and Razors,2016,14.4,75109824,43.28
Blades and Razors,2025,26.89,25356893.54,38.1
Blades and Razors,2023,46.93,122112423.2,4.67
Blades and Razors,2019,29.22,20211474,-15.77
Blades and Razors,2012,6.13,13007786.44,48.43
Blades and Razors,2014,18.03,29913122.25,35.94
Blades and Razors,2002,25.63,59794097.99,-3.18
Blades and Razors,2008,15.39,48167637.39,29.61
Blades and Razors,2016,28.52,77752906.68,26.37
Blades and Razors,2017,57.16,95329847.52,17.77
Blades and Razors,2011,11.54,44197669.16,35.59
Blades and Razors,2005,56.35,194004259.4,-32.4
Blades and Razors,2014,50.5,170864881.5,10.08
Blades and Razors,2004,5.59,14705534.74,-43.4
Blades and Razors,2023,4.22,16174589.02,-6.85
Blades and Razors,2004,39.73,137367468.3,-30.14
Blades and Razors,2007,28.05,165153070.5,-46.58
Blades and Razors,2010,9.89,24723645.07,-44.26
Blades and Razors,2012,26.06,145554846.4,10.78
Blades and Razors,2000,48.82,47888709.68,-48.67
Blades and Razors,2002,24.53,57714429.3,41.58
Blades and Razors,2015,37.5,145646250,47.28
Blades and Razors,2002,34.32,88084956.96,19.8
Blades and Razors,2017,33,30424845,-18.45
Blades and Razors,2007,21.9,22121956.5,25.54
Blades and Razors,2002,38.55,136728407.6,8.96
Blades and Razors,2019,42.94,38723549.64,10.52
Blades and Razors,2021,18.01,85633497.75,22.25
Blades and Razors,2001,32.75,188454340.3,-44.94
Blades and Razors,2002,52.14,309579008,9.38
