Year,Category,Dollar Sales UD
2010,Additional Treatments,"$630,000,000.00 "
2005,Additional Treatments,"$142,000,000.00 "
2021,Additional Treatments,"$153,000,000.00 "
2012,Additional Treatments,"$52,943,015.00 "
2014,Additional Treatments,"$156,000,000.00 "
2015,Additional Treatments,"$186,000,000.00 "
2000,Additional Treatments,"$44,395,503.00 "
2023,Additional Treatments,"$152,000,000.00 "
2012,Additional Treatments,"$70,976,402.00 "
2018,Additional Treatments,"$357,000,000.00 "
2016,Additional Treatments,"$118,000,000.00 "
2004,Additional Treatments,"$225,000,000.00 "
2022,Additional Treatments,"$246,000,000.00 "
2016,Additional Treatments,"$88,879,765.00 "
2007,Additional Treatments,"$451,000,000.00 "
2002,Additional Treatments,"$294,000,000.00 "
2012,Additional Treatments,"$757,000,000.00 "
2002,Additional Treatments,"$349,000,000.00 "
2010,Additional Treatments,"$331,000,000.00 "
2002,Additional Treatments,"$357,000,000.00 "
2000,Additional Treatments,"$701,000,000.00 "
2013,Additional Treatments,"$19,593,145.00 "
2013,Additional Treatments,"$179,000,000.00 "
2000,Additional Treatments,"$69,049,435.00 "
2000,Additional Treatments,"$325,000,000.00 "
2005,Additional Treatments,"$897,000,000.00 "
2018,Additional Treatments,"$943,000,000.00 "
2015,Additional Treatments,"$417,000,000.00 "
2024,Additional Treatments,"$435,000,000.00 "
2019,Additional Treatments,"$206,000,000.00 "
2001,Additional Treatments,"$425,000,000.00 "
2009,Additional Treatments,"$51,211,876.00 "
2007,Additional Treatments,"$41,240,160.00 "
2007,Additional Treatments,"$815,000,000.00 "
2008,Additional Treatments,"$157,000,000.00 "
2022,Additional Treatments,"$985,000,000.00 "
2005,Additional Treatments,"$390,000,000.00 "
2020,Additional Treatments,"$267,000,000.00 "
2007,Additional Treatments,"$431,000,000.00 "
2007,Additional Treatments,"$222,000,000.00 "
2017,Additional Treatments,"$241,000,000.00 "
2013,Additional Treatments,"$123,000,000.00 "
2000,Additional Treatments,"$218,000,000.00 "
2016,Additional Treatments,"$115,000,000.00 "
2019,Additional Treatments,"$105,000,000.00 "
2017,Additional Treatments,"$222,000,000.00 "
2020,Additional Treatments,"$586,000,000.00 "
2003,Additional Treatments,"$219,000,000.00 "
2020,Additional Treatments,"$200,000,000.00 "
2006,Additional Treatments,"$658,000,000.00 "
2012,Additional Treatments,"$844,000,000.00 "
2006,Additional Treatments,"$769,000,000.00 "
2014,Additional Treatments,"$19,945,839.00 "
2017,Additional Treatments,"$242,000,000.00 "
2000,Additional Treatments,"$548,000,000.00 "
2016,Additional Treatments,"$189,000,000.00 "
2013,Additional Treatments,"$81,415,392.00 "
2012,Additional Treatments,"$629,000,000.00 "
2016,Additional Treatments,"$69,542,686.00 "
2004,Additional Treatments,"$243,000,000.00 "
2023,Additional Treatments,"$574,000,000.00 "
2003,Additional Treatments,"$97,487,155.00 "
2003,Additional Treatments,"$354,000,000.00 "
2022,Additional Treatments,"$321,000,000.00 "
2010,Additional Treatments,"$141,000,000.00 "
2014,Additional Treatments,"$441,000,000.00 "
2000,Additional Treatments,"$451,000,000.00 "
2022,Additional Treatments,"$146,000,000.00 "
2018,Additional Treatments,"$359,000,000.00 "
2007,Additional Treatments,"$68,384,966.00 "
2015,Additional Treatments,"$229,000,000.00 "
2000,Additional Treatments,"$20,903,906.00 "
2002,Additional Treatments,"$326,000,000.00 "
2019,Additional Treatments,"$176,000,000.00 "
2011,Additional Treatments,"$242,000,000.00 "
2006,Additional Treatments,"$459,000,000.00 "
2001,Additional Treatments,"$242,000,000.00 "
2009,Additional Treatments,"$719,000,000.00 "
2014,Additional Treatments,"$506,000,000.00 "
2022,Additional Treatments,"$612,000,000.00 "
2023,Additional Treatments,"$103,000,000.00 "
2006,Additional Treatments,"$515,000,000.00 "
2018,Additional Treatments,"$156,000,000.00 "
2012,Additional Treatments,"$283,000,000.00 "
2020,Additional Treatments,"$417,000,000.00 "
2006,Additional Treatments,"$82,530,947.00 "
2009,Additional Treatments,"$439,000,000.00 "
2008,Additional Treatments,"$564,000,000.00 "
2015,Additional Treatments,"$386,000,000.00 "
2020,Additional Treatments,"$710,000,000.00 "
2024,Additional Treatments,"$596,000,000.00 "
2020,Additional Treatments,"$976,000,000.00 "
2001,Additional Treatments,"$27,240,279.00 "
2010,Additional Treatments,"$100,000,000.00 "
2019,Additional Treatments,"$90,988,952.00 "
2021,Additional Treatments,"$15,301,317.00 "
2003,Additional Treatments,"$672,000,000.00 "
2002,Additional Treatments,"$361,000,000.00 "
2012,Additional Treatments,"$12,947,619.00 "
2009,Additional Treatments,"$134,000,000.00 "
2003,Additional Treatments,"$772,000,000.00 "
2004,Additional Treatments,"$818,000,000.00 "
2002,Additional Treatments,"$147,000,000.00 "
2003,Additional Treatments,"$187,000,000.00 "
2001,Additional Treatments,"$341,000,000.00 "
2006,Additional Treatments,"$121,000,000.00 "
2024,Additional Treatments,"$314,000,000.00 "
2015,Additional Treatments,"$572,000,000.00 "
2014,Additional Treatments,"$74,604,270.00 "
2020,Additional Treatments,"$280,000,000.00 "
2017,Additional Treatments,"$356,000,000.00 "
2007,Additional Treatments,"$157,000,000.00 "
2011,Additional Treatments,"$397,000,000.00 "
2020,Additional Treatments,"$36,167,035.00 "
2024,Additional Treatments,"$73,910,600.00 "
2021,Additional Treatments,"$440,000,000.00 "
2005,Additional Treatments,"$76,381,316.00 "
2000,Additional Treatments,"$684,000,000.00 "
2013,Additional Treatments,"$797,000,000.00 "
2006,Additional Treatments,"$579,000,000.00 "
2024,Additional Treatments,"$117,000,000.00 "
2019,Additional Treatments,"$609,000,000.00 "
2014,Additional Treatments,"$74,348,673.00 "
2020,Additional Treatments,"$754,000,000.00 "
2013,Additional Treatments,"$729,000,000.00 "
2017,Additional Treatments,"$693,000,000.00 "
2013,Additional Treatments,"$425,000,000.00 "
2001,Additional Treatments,"$319,000,000.00 "
2000,Additional Treatments,"$132,000,000.00 "
2024,Additional Treatments,"$95,787,885.00 "
2024,Additional Treatments,"$123,000,000.00 "
2008,Additional Treatments,"$485,000,000.00 "
2018,Additional Treatments,"$2,799,104.00 "
2008,Additional Treatments,"$172,000,000.00 "
2013,Additional Treatments,"$661,000,000.00 "
2007,Additional Treatments,"$297,000,000.00 "
2012,Additional Treatments,"$47,258,796.00 "
2021,Additional Treatments,"$249,000,000.00 "
2006,Additional Treatments,"$519,000,000.00 "
2016,Additional Treatments,"$915,000,000.00 "
2009,Additional Treatments,"$508,000,000.00 "
2007,Additional Treatments,"$1,020,000,000.00 "
2007,Additional Treatments,"$689,000,000.00 "
2010,Additional Treatments,"$567,000,000.00 "
2010,Additional Treatments,"$117,000,000.00 "
2020,Additional Treatments,"$378,000,000.00 "
2010,Additional Treatments,"$400,000,000.00 "
2000,Additional Treatments,"$158,000,000.00 "
2020,Additional Treatments,"$441,000,000.00 "
2023,Additional Treatments,"$143,000,000.00 "
2003,Additional Treatments,"$348,000,000.00 "
2003,Additional Treatments,"$61,399,683.00 "
2007,Additional Treatments,"$336,000,000.00 "
2007,Additional Treatments,"$290,000,000.00 "
2001,Additional Treatments,"$830,000,000.00 "
2008,Additional Treatments,"$73,689,383.00 "
2024,Additional Treatments,"$148,000,000.00 "
2005,Additional Treatments,"$191,000,000.00 "
2009,Additional Treatments,"$208,000,000.00 "
2009,Additional Treatments,"$225,000,000.00 "
2010,Additional Treatments,"$245,000,000.00 "
2005,Additional Treatments,"$369,000,000.00 "
2000,Additional Treatments,"$572,000,000.00 "
2002,Additional Treatments,"$159,000,000.00 "
2008,Additional Treatments,"$9,624,872.00 "
2012,Additional Treatments,"$28,124,035.00 "
2014,Additional Treatments,"$296,000,000.00 "
2001,Additional Treatments,"$6,934,291.00 "
2006,Additional Treatments,"$329,000,000.00 "
2004,Additional Treatments,"$130,000,000.00 "
2017,Additional Treatments,"$912,000,000.00 "
2000,Additional Treatments,"$18,520,787.00 "
2023,Additional Treatments,"$515,000,000.00 "
2013,Additional Treatments,"$1,190,000,000.00 "
2014,Additional Treatments,"$828,000,000.00 "
2006,Additional Treatments,"$216,000,000.00 "
2024,Additional Treatments,"$877,000,000.00 "
2003,Additional Treatments,"$209,000,000.00 "
2001,Additional Treatments,"$802,000,000.00 "
2007,Additional Treatments,"$82,478,664.00 "
2013,Additional Treatments,"$194,000,000.00 "
2004,Additional Treatments,"$103,000,000.00 "
2021,Additional Treatments,"$178,000,000.00 "
2010,Additional Treatments,"$727,000,000.00 "
2017,Additional Treatments,"$478,000,000.00 "
2017,Additional Treatments,"$414,000,000.00 "
2007,Additional Treatments,"$142,000,000.00 "
2001,Additional Treatments,"$755,000,000.00 "
2018,Additional Treatments,"$676,000,000.00 "
2008,Additional Treatments,"$683,000,000.00 "
2011,Additional Treatments,"$83,956,218.00 "
2019,Additional Treatments,"$355,000,000.00 "
2012,Additional Treatments,"$512,000,000.00 "
2003,Additional Treatments,"$103,000,000.00 "
2013,Additional Treatments,"$178,000,000.00 "
2005,Additional Treatments,"$42,845,019.00 "
2011,Additional Treatments,"$540,000,000.00 "
2013,Additional Treatments,"$419,000,000.00 "
2019,Additional Treatments,"$364,000,000.00 "
2017,Additional Treatments,"$251,000,000.00 "
2021,Additional Treatments,"$67,751,674.00 "
2020,Additional Treatments,"$120,000,000.00 "
2014,Additional Treatments,"$435,000,000.00 "
2022,Additional Treatments,"$235,000,000.00 "
2014,Additional Treatments,"$717,000,000.00 "
2000,Additional Treatments,"$188,000,000.00 "
2006,Additional Treatments,"$615,000,000.00 "
2014,Additional Treatments,"$408,000,000.00 "
2020,Additional Treatments,"$265,000,000.00 "
2003,Additional Treatments,"$26,326,641.00 "
2000,Additional Treatments,"$34,632,649.00 "
2012,Additional Treatments,"$216,000,000.00 "
2020,Additional Treatments,"$212,000,000.00 "
2020,Additional Treatments,"$274,000,000.00 "
2007,Additional Treatments,"$903,000,000.00 "
2014,Additional Treatments,"$77,294,541.00 "
2019,Additional Treatments,"$108,000,000.00 "
2018,Additional Treatments,"$444,000,000.00 "
2004,Additional Treatments,"$140,000,000.00 "
2019,Additional Treatments,"$321,000,000.00 "
2001,Additional Treatments,"$755,000,000.00 "
2015,Additional Treatments,"$315,000,000.00 "
2002,Additional Treatments,"$33,411,570.00 "
2020,Additional Treatments,"$563,000,000.00 "
2023,Additional Treatments,"$242,000,000.00 "
2001,Additional Treatments,"$500,000,000.00 "
2022,Additional Treatments,"$633,000,000.00 "
2024,Additional Treatments,"$508,000,000.00 "
2000,Additional Treatments,"$658,000,000.00 "
2024,Additional Treatments,"$44,256,642.00 "
2005,Additional Treatments,"$196,000,000.00 "
2007,Additional Treatments,"$404,000,000.00 "
2005,Additional Treatments,"$82,980,428.00 "
2000,Additional Treatments,"$599,000,000.00 "
2006,Additional Treatments,"$280,000,000.00 "
2019,Additional Treatments,"$158,000,000.00 "
2001,Additional Treatments,"$564,000,000.00 "
2010,Additional Treatments,"$407,000,000.00 "
2005,Additional Treatments,"$343,000,000.00 "
2017,Additional Treatments,"$137,000,000.00 "
2011,Additional Treatments,"$142,000,000.00 "
2024,Additional Treatments,"$278,000,000.00 "
2024,Additional Treatments,"$762,000,000.00 "
2008,Additional Treatments,"$880,000,000.00 "
2003,Additional Treatments,"$870,000,000.00 "
2009,Additional Treatments,"$596,000,000.00 "
2009,Additional Treatments,"$428,000,000.00 "
2013,Additional Treatments,"$246,000,000.00 "
2004,Additional Treatments,"$309,000,000.00 "
2013,Additional Treatments,"$19,815,801.00 "
2014,Additional Treatments,"$247,000,000.00 "
2022,Additional Treatments,"$46,814,038.00 "
2016,Additional Treatments,"$85,252,612.00 "
2013,Additional Treatments,"$292,000,000.00 "
2013,Additional Treatments,"$87,503,323.00 "
2011,Additional Treatments,"$952,000,000.00 "
2003,Additional Treatments,"$782,000,000.00 "
2018,Additional Treatments,"$540,000,000.00 "
2018,Additional Treatments,"$341,000,000.00 "
2005,Additional Treatments,"$248,000,000.00 "
2008,Additional Treatments,"$34,850,306.00 "
2000,Additional Treatments,"$723,000,000.00 "
2022,Additional Treatments,"$25,824,770.00 "
2004,Additional Treatments,"$256,000,000.00 "
2020,Additional Treatments,"$93,569,717.00 "
2007,Additional Treatments,"$179,000,000.00 "
2016,Additional Treatments,"$459,000,000.00 "
2017,Additional Treatments,"$293,000,000.00 "
2019,Additional Treatments,"$13,911,242.00 "
2024,Additional Treatments,"$17,038,664.00 "
2001,Additional Treatments,"$688,000,000.00 "
2006,Additional Treatments,"$46,717,569.00 "
2020,Additional Treatments,"$608,000,000.00 "
