Category,Year,Avg Price USD,Dollar Sales UD,YOY % Change
Concealer,2001,8.57,155904553.7,8.47
Concealer,2020,21.33,238516962.4,11.3
Concealer,2023,27.56,183107197.8,4.97
Concealer,2015,7.5,333847809.4,9.28
Concealer,2013,31.23,99020278.32,6.67
Concealer,2001,22.6,438402614.4,11.82
Concealer,2004,12.79,961136604.1,11.98
Concealer,2015,23.91,460917486.6,8.51
Concealer,2014,22.1,238688543.7,2.1
Concealer,2004,31.1,948227506.9,2.38
Concealer,2000,24.81,429941928.4,-5.4
Concealer,2017,17.98,910573403.5,3
Concealer,2006,11.12,845188079.2,9.21
Concealer,2009,33.96,596690646.3,2.37
Concealer,2011,8.95,784216155.4,-4
Concealer,2007,14.4,478668234.7,10.9
Concealer,2013,8.29,79739715.1,0.21
Concealer,2005,7.63,900978334.5,-6.47
Concealer,2009,11.94,412994191.6,9.93
Concealer,2003,18.01,269002053.7,14.27
Concealer,2011,19.99,231541204,-5.48
Concealer,2012,36.24,619411246.3,10.07
Concealer,2017,38.83,492456488.2,6.26
Concealer,2011,24.79,46935038.4,10.74
Concealer,2008,16.16,849835758.5,-6.01
Concealer,2014,26.96,535471339.5,-0.72
Concealer,2000,37.9,473719259.3,9.55
Concealer,2008,7.52,877758210.8,-7.41
Concealer,2001,12.05,344539553.1,4.9
Concealer,2011,17.68,313160739.1,-8.61
Concealer,2006,21.95,664648658.4,2.21
Concealer,2001,39.75,667670114.1,-1.15
Concealer,2002,18.02,376828158.7,11.75
Concealer,2017,21.26,564424326.5,0.09
Concealer,2006,19.91,674273663.9,-6.38
Concealer,2010,19.14,598917901.8,-2.23
Concealer,2016,29.45,807275031.4,14.78
Concealer,2003,23,888863845.3,6.21
Concealer,2009,24.58,472278877.8,0.47
Concealer,2016,29.25,808668353.6,1.46
Concealer,2021,31.45,941176586.9,-6.81
Concealer,2017,37.44,822784844.5,11.58
Concealer,2011,24.51,83221159.92,0.81
Concealer,2016,13.07,752614672.3,-2.26
Concealer,2020,33.76,386261590.4,14.92
Concealer,2006,15.78,630428366.8,-6.32
Concealer,2023,33.66,349691409.2,2.12
Concealer,2006,21.72,544761460.3,-0.42
Concealer,2003,39.84,742642506.6,-5.29
Concealer,2021,9.15,767025148.6,-0.33
Concealer,2008,7.34,384001043.9,-5.52
Concealer,2004,25,475934684.7,-6.74
Concealer,2021,21.47,597489020.7,8.9
Concealer,2010,20.57,434694049.4,12.67
Concealer,2013,22.43,468705336.9,2.12
Concealer,2003,15.63,109006566.1,1.33
Concealer,2009,18.93,541818921.2,-4.56
Concealer,2019,17.53,135782724.1,-8.23
Concealer,2000,22.98,437693077.9,-6.01
Concealer,2006,21.82,415838044.3,7.44
Concealer,2023,19.74,495570955.2,-9.29
Concealer,2018,31.49,488415248.2,10.64
Concealer,2014,35.85,791635709.6,3.98
Concealer,2011,14.65,704984313.4,-0.25
Concealer,2016,24.45,640184718.3,5.2
Concealer,2006,39.62,970964623.2,9.87
Concealer,2017,34.83,754797695.3,14.6
Concealer,2020,39.82,918441736.7,-5.71
Concealer,2001,19.25,316850556.7,11.12
Concealer,2001,26,213826514.9,-3.98
Concealer,2009,13.67,316580013.5,7.76
Concealer,2007,30.24,762845215.2,-7.98
Concealer,2019,7.98,744851933.9,-6.62
Concealer,2003,6.9,379525720.6,-5.46
Concealer,2001,23.13,839446065.4,-8.62
Concealer,2017,14.99,784131135.7,-4.11
Concealer,2017,27.66,538248998.6,10.97
Concealer,2002,20.57,590124519.4,1.77
Concealer,2000,31.68,614790874.6,3.26
Concealer,2015,28.89,243697458.1,-4.03
Concealer,2017,12.91,785200805.5,-9.05
Concealer,2018,10.71,465414664.2,1.34
Concealer,2020,8.5,11567368.49,-9.51
Concealer,2009,39.83,351648910.9,9.47
Concealer,2008,18.99,455791022.3,-9.61
Concealer,2001,26.68,767455691.5,1.18
Concealer,2015,33.2,573255613.3,9.54
Concealer,2019,37.96,257310301.7,-7.14
Concealer,2007,18.81,499665541.8,11.4
Concealer,2003,35.81,216793206.3,14.31
Concealer,2009,11.17,293797148.6,1.9
Concealer,2014,38.36,586124493.4,1.22
Concealer,2012,23.36,501449007.6,8.94
Concealer,2000,18.65,666100175.5,-4.77
Concealer,2021,38.3,732007279.8,-1.57
Concealer,2000,19.95,525776167.1,0.29
Concealer,2006,25.99,957684446.4,1.16
Concealer,2008,32.04,41003500.14,6.12
Concealer,2022,16.38,986660375.7,6.1
Concealer,2023,11.61,527499519,9.73
Concealer,2020,7.94,872818266.8,13.53
Concealer,2005,32.76,682806839.9,0.37
Concealer,2008,5.42,794477694.2,-8.99
Concealer,2009,29.85,688372805,7.69
Concealer,2008,25.22,246543211.5,7.18
Concealer,2013,6.38,248441289.2,-7.03
Concealer,2010,18.02,902826227.4,13.19
Concealer,2014,15.14,425770584.1,9.05
Concealer,2018,28.43,115710716.1,12.71
Concealer,2003,8.23,541148435.9,3.55
Concealer,2012,19.84,651269704,1.49
Concealer,2013,38.38,160930419.8,7.48
Concealer,2010,13.95,514971152.6,14.15
Concealer,2023,16.91,415634222.4,-3.44
Concealer,2018,35.05,394389276.6,0.96
Concealer,2008,22.08,186333787.8,-8.91
Concealer,2021,35.82,461441723.5,1.95
Concealer,2011,36.19,656174910.3,6.16
Concealer,2022,23.32,476469146.5,13.75
Concealer,2001,19.88,831215091,-0.47
Concealer,2013,36.34,496038556.2,7.08
Concealer,2020,10.62,630869252.8,4.78
Concealer,2013,34.85,835970098.1,11.65
Concealer,2022,35.16,84408859.15,3.47
Concealer,2008,16.14,418350603.6,-3.04
Concealer,2012,22.48,92371809.94,3.14
Concealer,2015,28.38,400546604.9,0.68
Concealer,2022,38.59,934409602.1,3.62
Concealer,2018,35.05,567596437.9,6.77
Concealer,2004,20.38,537513739.9,-5.79
Concealer,2008,37.49,529278309.1,9.79
Concealer,2022,10.9,325044735.5,-6.75
Concealer,2012,18.4,906887314.6,-6.4
Concealer,2001,27.38,95978130.7,9.65
Concealer,2013,35.65,634497564.1,-5.39
Concealer,2002,17.85,906362234.9,3.53
Concealer,2024,36.44,225094466.5,2.48
Concealer,2003,28.05,215970920.9,-3.46
Concealer,2020,38.38,371796004.5,0.14
Concealer,2009,23.51,895287536.4,1.85
Concealer,2005,37.69,546846518.1,1.27
Concealer,2002,35.39,344368504,0.74
Concealer,2015,18.06,978392953.1,-1.48
Concealer,2003,29.41,88797781.53,11.95
Concealer,2001,25.73,133972017.7,3.53
Concealer,2016,11.36,764606475.3,-2.94
Concealer,2002,27.86,829350143.1,13.82
Concealer,2009,10.81,725785154.6,5.37
Concealer,2015,18.01,16127769.25,-4.89
Concealer,2010,8.67,122540153.9,-7.98
Concealer,2024,20.96,119885037.3,11.41
Concealer,2006,32.89,761716474,-6.28
Concealer,2009,16.02,601434942.6,0.34
Concealer,2001,12.65,107374425.1,-1.46
Concealer,2018,36.58,644687544.3,-0.5
Concealer,2002,23.42,815207437.8,9.37
Concealer,2020,17.04,351784350.8,4.1
Concealer,2022,30.72,259595171.9,3.6
Concealer,2005,16.21,871761492.8,12.09
Concealer,2019,39.75,955309316.6,-3.48
Concealer,2002,30.23,62005748.03,3.64
Concealer,2019,25.06,257672469.6,7.33
Concealer,2017,6.56,607810692.4,10.23
Concealer,2009,36.03,103573432.4,-3.14
Concealer,2005,27.41,245031081.4,2.47
Concealer,2012,15.37,251559588.2,-0.51
Concealer,2016,22.79,781477999.8,7.41
Concealer,2020,37.83,975405502,9.66
Concealer,2018,11.98,198581364,6.83
Concealer,2013,32.16,536404196.2,-6.63
Concealer,2017,20.28,630350658,-8.09
Concealer,2005,33.52,684452694.6,7.18
Concealer,2017,28.01,479060119.1,3.13
Concealer,2016,30.47,15381370.16,8.6
Concealer,2008,19.39,865133398.8,9.72
Concealer,2015,27.3,601379550.2,-4.07
Concealer,2016,31.99,413412491.6,1.94
Concealer,2016,37.68,905297284,-9.24
Concealer,2003,8.36,115688951.8,-7.32
Concealer,2006,13.21,412989392.1,-2.06
Concealer,2013,13.3,817796680.7,-9.55
Concealer,2008,24.25,423796090.9,12.68
Concealer,2008,38.13,975060711.5,9.71
Concealer,2011,16.3,709122028.3,4.61
Concealer,2007,23.75,42054073.58,-2.39
Concealer,2013,29.36,625960456.6,11.93
Concealer,2008,26.96,23902844.76,5.85
Concealer,2006,24.26,939415931.9,12.52
Concealer,2005,39.58,684644170.1,-8.75
Concealer,2013,35.14,489088010.5,-0.9
Concealer,2015,27.26,213162657.5,-5.59
Concealer,2021,29.63,706726392.7,7.72
Concealer,2009,26.72,684247911.6,-0.24
Concealer,2024,22.56,783865291.3,3.83
Concealer,2009,9.94,395991344.7,-1.42
Concealer,2022,13.41,934337367.2,-7.97
Concealer,2010,37.4,835328078.4,8.05
Concealer,2020,25.06,496754181.2,-9.67
Concealer,2002,32.21,969481374.7,-6.33
Concealer,2020,22.9,945844594.5,-9.84
Concealer,2000,5.82,183528497.2,2.36
Concealer,2001,26.37,143092073.9,14.46
Concealer,2001,19.84,451002558,-9.3
Concealer,2006,16.65,724118836.6,8.41
Concealer,2019,35.44,179408167.7,8.91
Concealer,2016,36.16,786915953.9,-7.71
Concealer,2008,27.02,202690892.2,11.32
Concealer,2021,34.9,115588193.4,-8.66
Concealer,2000,21.65,297147987.5,7.86
Concealer,2019,22.66,231603575.1,14.86
Concealer,2015,33.35,736024636.7,8.41
Concealer,2000,36.39,282840385.8,11.59
Concealer,2004,34.94,668433636.5,-0.32
Concealer,2010,18.56,110792456.4,9.82
Concealer,2013,12.08,761289871.9,13.88
Concealer,2018,5.53,842358560.4,13.31
Concealer,2011,37.52,359168024.6,0.71
Concealer,2001,20.32,348060452.8,6.99
Concealer,2008,18.24,650413871.1,13.22
Concealer,2018,27.23,546636930.1,2.16
Concealer,2022,24.46,738520672.5,-9.88
Concealer,2019,19.77,318762834.2,11.45
Concealer,2020,14.14,934781455.1,-8.21
Concealer,2013,16.77,221140504.1,-3.38
Concealer,2006,11.67,604404129.8,2.43
Concealer,2015,8.95,562117837.9,-6.73
Concealer,2014,32.74,375103910.2,12.59
Concealer,2008,21.95,417411115.5,5.51
Concealer,2008,15.34,496244352.2,8.22
Concealer,2017,36.04,211993456.3,1.78
Concealer,2016,31.93,198734565.8,0.5
Concealer,2018,27.8,33075706.35,-2.65
Concealer,2020,14.76,920210272.2,7.95
Concealer,2010,37.44,579833895.5,-3.11
Concealer,2001,11.84,922233135.5,7.11
Concealer,2015,16.36,481965753,7.37
Concealer,2004,30.04,424094517.5,-2.61
Concealer,2004,25.28,586541649.5,-2.9
Concealer,2006,30.97,769617565.2,-6.95
Concealer,2005,34.83,380922357,-8.22
Concealer,2013,12,506044543.2,5.77
Concealer,2010,10.24,168180509.1,-0.29
Concealer,2011,17.4,779463908.1,-9.66
Concealer,2016,26.39,907787093.3,-8.01
Concealer,2004,23.85,463180437.4,12.77
Concealer,2016,9.06,155768357.4,7.37
Concealer,2005,12.73,734136302.4,-4.99
Concealer,2019,9.99,654864244.8,7.2
Concealer,2008,15.15,284474993.5,-4.42
Concealer,2008,39.85,761663155.3,7.78
Concealer,2001,19.45,102704375.6,7.23
Concealer,2000,18.45,537968878.7,-4.61
Concealer,2014,31.51,173049827.1,14.63
Concealer,2007,35.99,921442012.3,10.2
Concealer,2017,5.57,243425127,-9.04
Concealer,2014,29.18,953236902.9,-5.36
Concealer,2012,38.58,662966692.4,12.18
Concealer,2004,38.59,204430470.3,8.69
Concealer,2020,26.32,890866294.2,2.6
Concealer,2009,14.51,76614285.02,-1.75
Concealer,2019,6.5,996681044.4,13.46
Concealer,2002,23.05,847376468.2,-6.76
Concealer,2012,32.46,720069112.7,-1.22
Concealer,2015,30.91,628607463.9,12.01
Concealer,2005,11.38,622229148.1,0.85
Concealer,2020,7.87,425010306.2,7.45
Concealer,2006,8.94,511108460.7,-9.63
Concealer,2022,7.87,604018821.5,5.78
Concealer,2003,28.31,177254705,11.75
Concealer,2015,16.5,981022162.5,11.38
Concealer,2017,18.21,172130966.1,10.69
Concealer,2024,25.09,179651512.7,13.89
Concealer,2002,33.34,167697121.8,7.29
Concealer,2022,34.84,765535901,3.8
Concealer,2008,5.91,904805423.8,10.79
Concealer,2010,15.35,17706837.02,-3.42
Concealer,2002,30.5,927113321.3,-1.05
Concealer,2001,11.39,644811002.8,-9.64
Concealer,2008,22.99,709457479.4,7.48
Concealer,2005,19.36,972245389.4,-6.96
Concealer,2016,39.92,870471267.2,-0.69
Concealer,2013,22.37,472358548.3,-1.32
Concealer,2002,26.45,537797541.2,9.43
Concealer,2013,30.94,870900920,11.88
Concealer,2009,31.51,267092018.2,-1.5
Concealer,2014,13.57,910226597.2,-6.28
Concealer,2000,20.71,761303715.6,4.04
Concealer,2021,18.25,984504330.1,-4.79
Concealer,2016,10.35,428416390.4,0.47
Concealer,2017,31.4,15270001.5,-7.9
Concealer,2011,27.51,645518031.7,7.74
Concealer,2004,19.83,347535940.6,-7.71
Concealer,2023,31.05,162107545.6,14
Concealer,2024,20.3,428484810.6,-9.76
Concealer,2015,22.7,182785368.4,4.64
Concealer,2002,7.75,418740044.6,-2.09
Concealer,2017,27.51,890138273.4,2.27
Concealer,2014,36.17,399244022,6.05
Concealer,2000,24.06,238271821.6,9.27
Concealer,2018,35.79,122034987.3,-8.69
Concealer,2003,9.38,606919998.5,-0.08
Concealer,2018,33.27,190387178.6,-4.96
Concealer,2008,32.48,878849050.8,5.09
Concealer,2005,16.57,470740804.2,4.33
Concealer,2001,31.96,722847156.1,-7.6
Concealer,2005,12.31,931260024.3,14.74
Concealer,2017,36.74,863421144.4,-3.38
Concealer,2023,26.47,89144775.47,-9.75
Concealer,2012,16.37,177157879,-2.15
Concealer,2017,16.49,432968216.4,-7.29
Concealer,2014,37.05,430144686.4,-0.5
Concealer,2014,15.05,743484291.1,-8.08
Concealer,2019,16,676552137.5,11.42
Concealer,2022,37.7,540871835,-2.44
Concealer,2021,30.49,564664653.9,-0.68
Concealer,2015,11.64,370927559.5,-0.09
Concealer,2007,9.4,517518915.9,-6.84
Concealer,2001,6.48,953424792.1,9.67
Concealer,2020,16,247505741.7,1.81
Concealer,2020,11.31,964938494.4,-6.98
Concealer,2006,16.3,927086587.1,11.12
Concealer,2001,5.12,981173799.6,-5.18
Concealer,2011,27.38,211738763.8,8.63
Concealer,2000,31.76,988540975.7,5.66
Concealer,2024,12.36,442585502.1,0.51
Concealer,2010,22.11,121053624,-5.01
Concealer,2009,27.83,366104928.4,-7.29
Concealer,2004,5.17,772897711.8,8.94
Concealer,2018,28.72,489669791.3,14.48
Concealer,2002,20.77,841109380.5,14.14
Concealer,2021,16.9,797443275.1,3.49
Concealer,2021,15.91,82866894.76,5.13
Concealer,2001,35.43,770197409.8,-7.78
Concealer,2019,22.37,456754234.2,-7.42
Concealer,2000,21.96,705606542.9,11.58
Concealer,2018,8.34,495636883.5,11.87
Concealer,2021,11.55,188218798.4,-6.26
Concealer,2016,32.75,249494211.1,10.79
Concealer,2013,21.43,894884673,2.06
Concealer,2009,22.79,77494597.14,11.22
Concealer,2005,22.08,211849971,6.55
Concealer,2018,12.83,860461684.4,-5.13
Concealer,2008,20.3,205032869.8,-6.27
Concealer,2023,39.32,568332005,-6.73
Concealer,2010,29.02,33933856.56,-2.5
Concealer,2023,21.55,744522024.7,0.9
Concealer,2009,26.71,863565701.5,-4.82
Concealer,2005,14.51,795785438.5,0.55
Concealer,2012,15.38,563609131.7,-8.19
Concealer,2024,37.99,810892267,8.54
Contour,2023,39.29,192327678.9,4.21
Contour,2002,10.13,41674572.11,4.68
Contour,2005,22.64,64774198.98,-8.86
Contour,2010,14.75,612816964.6,8.78
Contour,2013,34.74,341458101,-5.99
Contour,2008,5.08,659280850.9,2.11
Contour,2010,11.3,715162459.8,2.4
Contour,2001,25.22,217984049,4.97
Contour,2020,38.5,602696899.2,-8.46
Contour,2017,30.6,801223123.3,-2.85
Contour,2012,33.68,624085213.4,-0.91
Contour,2022,19.4,516042584.7,6.76
Contour,2007,20.11,746084430.9,11.94
Contour,2021,18.55,264594227.3,5.29
Contour,2000,20.14,411274069.7,-1.85
Contour,2014,32.32,313336667.4,0.09
Contour,2014,9.02,753074678.6,0.08
Contour,2001,17.75,268007151.5,-6.56
Contour,2018,33.94,887208308.5,13.59
Contour,2004,34.28,491138800.4,-9.3
Contour,2020,38.05,240067373.6,9.21
Contour,2013,17.57,80656122.56,-7.68
Contour,2014,30.7,357941128.5,4.98
Contour,2021,17.48,548276574.6,-9.03
Contour,2011,24.22,785700772.5,8.33
Contour,2002,33.46,819019999.8,2.6
Contour,2005,34.49,40824400.35,9.94
Contour,2015,20.63,414943741.3,-6.93
Contour,2019,14.59,805641721.9,1.36
Contour,2006,38.21,173343450.4,8.72
Contour,2015,10.11,570469591.6,14.11
Contour,2019,22.38,31445380.04,-4.77
Contour,2003,10.52,796059927.7,-2.63
Contour,2001,10.7,289123023.5,13.96
Contour,2001,21.89,655047119.3,4.66
Contour,2003,11.84,268709205.6,9.16
Contour,2001,15.06,140152311.1,9.18
Contour,2003,38.11,609393066.9,13.2
Contour,2012,26.31,478102515.3,14.53
Contour,2008,21.99,579291463.7,-5.93
Contour,2019,33.95,633235183.1,5.72
Contour,2023,25.7,78011109.17,1.14
Contour,2018,30.81,873969073.5,0.65
Contour,2018,30.92,787932669.5,8.56
Contour,2022,10.11,360115108.8,14.91
Contour,2000,33.17,565862766.1,9.76
Contour,2015,18.86,599498713.7,-8.6
Contour,2001,7.95,188154016.3,-8.93
Contour,2006,21.36,388444359.6,6.49
Contour,2006,34.56,959089056.9,1.52
Contour,2001,38.53,423497800.3,-1.37
Contour,2010,38.88,983009072.5,6.71
Contour,2008,12.04,742911955,4.82
Contour,2014,34.84,375331147.3,-3.01
Contour,2001,36.37,52857176.2,-1.67
Contour,2023,17.47,671540720.7,8.92
Contour,2012,8.83,235881388.7,-7.54
Contour,2014,9.2,464080741.5,12.84
Contour,2017,39.59,799375814.6,-6.64
Contour,2004,21.31,344660447.8,-6.02
Contour,2005,17.03,984907947.1,13.86
Contour,2021,5.02,672210046.6,-6.2
Contour,2009,31.89,180728006.1,-5.31
Contour,2022,18.21,88470694.56,3.2
Contour,2002,12.91,613560499.5,9.43
Contour,2000,12.4,467738820.1,-2.47
Contour,2011,34.71,581146393.2,11.78
Contour,2012,37.7,441329902.7,-8.33
Contour,2001,21.73,235821527.6,13.93
Contour,2010,27.52,610701520.9,1.27
Contour,2018,5.79,943794970.6,-5.65
Contour,2023,34.91,389980456.3,14.02
Contour,2019,20.28,515866698.3,-4
Contour,2006,38.44,522084944.9,-6.82
Contour,2023,28.3,87417593.44,12.97
Contour,2011,6.57,793875725.6,-4.04
Contour,2009,32.46,498794700.4,13.31
Contour,2017,13.8,918273448.1,5.22
Contour,2020,18.49,41168604.41,-8.39
Contour,2023,20.59,469667874.6,-2.93
Contour,2014,20.05,703504936.6,-9.8
Contour,2011,38.87,934292220.6,3.39
Contour,2019,5.87,206663060.8,14.86
Contour,2024,13.46,21880776.5,4.95
Contour,2011,16,258979855.1,-6.8
Contour,2013,36.8,563931419.3,-3.16
Contour,2013,7.38,539436038.4,-7.8
Contour,2008,25.37,937764357.9,2.97
Contour,2016,15.77,796751543.2,0.78
Contour,2009,34.18,109001592,1.43
Contour,2011,8.69,633202133.5,-5.64
Contour,2019,38,637174072.7,-8.51
Contour,2007,5.12,801969497.6,3.02
Contour,2023,16.03,653911516.1,-2.02
Contour,2011,28.23,573058255.4,-2.06
Contour,2007,7.62,572054878.3,12.8
Contour,2001,35.95,842475698.7,4.43
Contour,2003,32.05,894664366.7,13.4
Contour,2014,27.57,65627200.71,14.4
Contour,2024,27,155969714,-1.77
Contour,2004,39.26,748744979.8,-2.62
Contour,2018,8.52,536285159.4,-0.54
Contour,2017,37.21,934273844,-7.43
Contour,2024,26.13,927552172.1,-5.67
Contour,2020,35.99,640163077.1,8.76
Contour,2023,17.09,246876545.3,6.07
Contour,2001,12.61,16832105.93,12.61
Contour,2021,22.49,739021647.9,14.18
Contour,2003,27.41,918425843.5,-7.94
Contour,2004,5.25,130094112.7,-2.85
Contour,2022,37.6,622888865.5,-9.03
Contour,2013,38.62,784167536.3,-5.91
Contour,2019,28.29,871028504.3,-6.6
Contour,2019,10.05,783252469.4,5.93
Contour,2002,30.65,915994027.4,2.3
Contour,2012,11.55,785997304.9,-0.91
Contour,2014,14,532537467,-0.23
Contour,2017,23.15,737420778.1,-0.43
Contour,2002,24.9,189736044.6,12.93
Contour,2013,29.5,136156660.6,1.07
Contour,2006,10.78,412093237,-6.58
Contour,2013,22.05,392199496.4,9.91
Contour,2008,10.33,864627513.9,-4.12
Contour,2006,12.32,392111980.3,8.16
Contour,2011,22.81,335755544.4,-8.31
Contour,2017,27.5,410576700.1,3.14
Contour,2012,9.3,729983550.2,13.21
Contour,2012,24.21,288524924.3,-1.16
Contour,2016,38.83,196309257,-6.01
Contour,2002,18.2,486866172.4,3.67
Contour,2019,12.83,24943625.69,-0.75
Contour,2000,33.68,634730854.3,-7.6
Contour,2002,20.52,277619864.5,-2.23
Contour,2002,6.25,184298627.9,3.45
Contour,2024,33.05,400917048.1,14.7
Contour,2017,24.99,356229771.2,2.11
Contour,2023,8.75,464361173.1,-4.5
Contour,2001,38.95,570268705.6,-9.25
Contour,2010,36.5,663704245.8,14.78
Contour,2015,39.84,445652737,-4.29
Contour,2015,30.91,52155406.44,6.56
Contour,2016,7.69,309227138.7,12.84
Contour,2001,24.9,739531155.9,12.79
Contour,2016,30.64,47322303.64,-5.93
Contour,2015,24.77,19664845.55,-0.6
Contour,2014,15.94,979971309.5,-3.05
Contour,2001,30.83,27707369.55,6.44
Contour,2017,18.9,716751839.7,-8.06
Contour,2008,37.49,355684670.9,11.84
Contour,2000,34.82,350075364,-9.34
Contour,2005,5.75,635339194.9,-0.44
Contour,2013,22.58,394359410.8,-8.65
Contour,2003,9.87,682645939.1,13.34
Contour,2018,38.8,478326773.4,13.37
Contour,2020,36.4,799423249.7,-5.8
Contour,2021,16.34,291581875,9.43
Contour,2003,22.59,960657130.7,13.68
Contour,2014,30.51,757667217.9,12.8
Contour,2018,5.4,802468945.3,6.07
Contour,2017,8.42,887906883.9,11.88
Contour,2005,21.41,302520366.7,13.18
Contour,2014,22.05,348762200.4,-4.71
Contour,2017,32.39,524926116.8,10.63
Contour,2006,14.99,504343609.5,1.43
Contour,2017,30.72,484264200.4,3.88
Contour,2003,33.02,527340628.2,14.41
Contour,2000,8.18,208211796.9,-3.64
Contour,2016,13.42,514053483.7,-5.37
Contour,2010,6.38,702055122,7.58
Contour,2014,25.54,78719932.2,-3.34
Contour,2002,32.45,50382717.88,-0.64
Contour,2003,37.79,344997942,7.58
Contour,2004,15.85,416586967.6,7.82
Contour,2022,21,52922992.02,-9.88
Contour,2004,8.72,894691572.7,0.84
Contour,2013,21.66,269253660.5,-4.37
Contour,2017,5.64,813988360.5,-2.25
Contour,2002,20.27,880761836.1,-8.85
Contour,2022,39.53,378670803.5,9.44
Contour,2018,18.35,868923726.3,-1.61
Contour,2010,28.64,855151710.8,4.08
Contour,2024,37.56,65515961.96,7.95
Contour,2011,16.93,301163728.8,4.67
Contour,2003,36.47,705053257.3,-5.88
Contour,2015,27.37,565554383.5,13.83
Contour,2024,36.81,622432167.2,6.95
Contour,2010,30.74,163497249.1,14.57
Contour,2001,8.71,780623181.6,10.09
Contour,2000,35.71,684027645.7,-5.78
Contour,2012,22.05,305140373.2,12.81
Contour,2005,10.31,586984178.8,-7.01
Contour,2023,19.85,932802300.8,4.49
Contour,2014,36.56,554920969.2,0.76
Contour,2018,20.87,370222276.7,-4.81
Contour,2005,39.29,184982706.4,-4.94
Contour,2022,20.17,92740447.77,10.81
Contour,2018,27.78,339260264.1,-3.3
