Category,Year,Units sold,Avg Price USD,Dollar Sales UD,YOY % Change
All Purpose Cleaners,2012,5889891,12.07,71090984.37,-16.41
All Purpose Cleaners,2013,427101,3.14,1341097.14,-7.63
All Purpose Cleaners,2013,2748171,23.15,63620158.65,-44.87
All Purpose Cleaners,2018,1896144,15.53,29447116.32,-8.83
All Purpose Cleaners,2009,3375620,3.66,12354769.2,-10.32
All Purpose Cleaners,2009,6470984,18.85,121978048.4,-16.87
All Purpose Cleaners,2003,5876584,22.06,129637443,29.74
All Purpose Cleaners,2023,6229965,7.61,47410033.65,29.29
All Purpose Cleaners,2012,3492300,14.85,51860655,-31.07
All Purpose Cleaners,2008,6782165,14.98,101596831.7,29.8
All Purpose Cleaners,2018,5790437,5.85,33874056.45,-2.73
All Purpose Cleaners,2009,1137144,17.12,19467905.28,16.09
All Purpose Cleaners,2008,4132226,6.41,26487568.66,5.35
All Purpose Cleaners,2004,4361273,3.77,16441999.21,15.9
All Purpose Cleaners,2019,2672603,13.04,34850743.12,-40.52
All Purpose Cleaners,2018,3669997,5.3,19450984.1,30.66
All Purpose Cleaners,2018,542782,5.37,2914739.34,-12.69
All Purpose Cleaners,2007,6764504,2.6,17587710.4,45.55
All Purpose Cleaners,2011,4943803,2.86,14139276.58,-5.8
All Purpose Cleaners,2002,5586362,9.55,53349757.1,-46.29
All Purpose Cleaners,2024,1133859,21.74,24650094.66,42.15
All Purpose Cleaners,2000,3435784,6.92,23775625.28,-21.37
All Purpose Cleaners,2012,3371152,11.21,37790613.92,20.45
All Purpose Cleaners,2012,3573960,8.92,31879723.2,-5.71
All Purpose Cleaners,2005,5177921,8.74,45255029.54,-40.24
All Purpose Cleaners,2007,691189,17.65,12199485.85,1.4
All Purpose Cleaners,2015,3167132,13.94,44149820.08,-28.05
All Purpose Cleaners,2019,7320305,2.95,21594899.75,-8.59
All Purpose Cleaners,2023,6809266,10.02,68228845.32,-46.5
All Purpose Cleaners,2007,3900924,2.94,11468716.56,-33.7
All Purpose Cleaners,2025,7908154,4.3,34005062.2,-37.34
All Purpose Cleaners,2017,6802036,18.42,125293503.1,-12
All Purpose Cleaners,2007,730506,4.26,3111955.56,-30.44
All Purpose Cleaners,2000,2521692,23.76,59915401.92,-7.97
All Purpose Cleaners,2002,1392439,19.25,26804450.75,45.86
All Purpose Cleaners,2021,4178555,1.66,6936401.3,10.93
All Purpose Cleaners,2024,2917029,24.98,72867384.42,-46.11
All Purpose Cleaners,2006,900950,8.46,7622037,-27.03
All Purpose Cleaners,2001,1643182,23.4,38450458.8,32.62
All Purpose Cleaners,2006,5011905,2.46,12329286.3,-0.36
All Purpose Cleaners,2018,7735156,14,108292184,45.16
All Purpose Cleaners,2023,1288640,12.73,16404387.2,3.56
All Purpose Cleaners,2016,5192574,9.67,50212190.58,-13.59
All Purpose Cleaners,2011,1716956,23.59,40502992.04,18.77
All Purpose Cleaners,2017,6587652,20.16,132807064.3,-32.86
All Purpose Cleaners,2006,3325689,22.28,74096350.92,-39.15
All Purpose Cleaners,2005,3393023,9.09,30842579.07,6.11
All Purpose Cleaners,2014,7577754,12.55,95100812.7,33.44
All Purpose Cleaners,2016,4580302,20.63,94491630.26,-6.25
All Purpose Cleaners,2002,2770992,24.23,67141136.16,10.05
All Purpose Cleaners,2004,3834328,15.98,61272561.44,27.37
All Purpose Cleaners,2020,7629317,14.81,112990184.8,2.74
All Purpose Cleaners,2004,7056673,16.96,119681174.1,39.42
All Purpose Cleaners,2001,6337732,3.67,23259476.44,-19.33
All Purpose Cleaners,2014,7128858,21.19,151060501,-32.75
All Purpose Cleaners,2012,2609325,1.9,4957717.5,46.98
All Purpose Cleaners,2014,7185182,24.73,177689550.9,7.27
All Purpose Cleaners,2007,3330306,18.71,62310025.26,21.02
All Purpose Cleaners,2020,143461,17.44,2501959.84,-6.63
All Purpose Cleaners,2000,5142569,22.49,115656376.8,-1.07
All Purpose Cleaners,2002,2144967,5.44,11668620.48,-35.25
All Purpose Cleaners,2002,1662147,23.18,38528567.46,-39.88
All Purpose Cleaners,2020,5929618,5.62,33324453.16,-35.93
All Purpose Cleaners,2021,7666261,3.02,23152108.22,1.16
All Purpose Cleaners,2004,2350506,5.73,13468399.38,8.56
All Purpose Cleaners,2000,432592,1.59,687821.28,32.79
All Purpose Cleaners,2020,5199787,22.64,117723177.7,-10.27
All Purpose Cleaners,2022,1621456,13.52,21922085.12,-20.71
All Purpose Cleaners,2002,4745369,1.87,8873840.03,14.85
All Purpose Cleaners,2012,813158,7.79,6334500.82,26.92
All Purpose Cleaners,2007,5525698,24.55,135655885.9,8.23
All Purpose Cleaners,2021,2896934,12.86,37254571.24,-28.88
All Purpose Cleaners,2008,1208881,9.13,11037083.53,15.64
All Purpose Cleaners,2008,7553996,23.01,173817448,20.46
All Purpose Cleaners,2012,5842937,5.42,31668718.54,-40.51
All Purpose Cleaners,2011,5000233,19.61,98054569.13,-2.64
All Purpose Cleaners,2018,1313105,9.3,12211876.5,-0.92
All Purpose Cleaners,2007,1668546,7.64,12747691.44,-0.96
All Purpose Cleaners,2017,701153,7.76,5440947.28,-41.83
All Purpose Cleaners,2017,5217278,24.4,127301583.2,-20.78
All Purpose Cleaners,2003,4953162,2.52,12481968.24,15.05
All Purpose Cleaners,2011,2907257,12.85,37358252.45,37.25
All Purpose Cleaners,2003,7423725,20,148474500,21.09
All Purpose Cleaners,2025,7217199,5.22,37673778.78,41.41
All Purpose Cleaners,2025,3049954,9.49,28944063.46,-5.43
All Purpose Cleaners,2003,3219915,4.65,14972604.75,46.5
All Purpose Cleaners,2018,7251379,14.27,103477178.3,49.53
All Purpose Cleaners,2014,2124708,4.27,9072503.16,-14.94
All Purpose Cleaners,2010,822254,13.05,10730414.7,-7.73
All Purpose Cleaners,2008,6672558,22,146796276,10.39
All Purpose Cleaners,2005,1264104,23.01,29087033.04,50
All Purpose Cleaners,2020,2808908,15.66,43987499.28,36.6
All Purpose Cleaners,2020,1783770,10.39,18533370.3,-29.76
All Purpose Cleaners,2004,1344265,8.87,11923630.55,32.51
All Purpose Cleaners,2024,6263643,6.26,39210405.18,-7.76
All Purpose Cleaners,2005,4595854,23.58,108370237.3,34.41
All Purpose Cleaners,2016,7188769,10.82,77782480.58,-14.27
All Purpose Cleaners,2009,1754538,15.41,27037430.58,-3.43
All Purpose Cleaners,2022,2280135,16.58,37804638.3,-12.73
All Purpose Cleaners,2000,5971737,7,41802159,-8.59
All Purpose Cleaners,2014,2121361,19.07,40454354.27,26.56
All Purpose Cleaners,2005,5552578,2.65,14714331.7,-0.08
All Purpose Cleaners,2016,4956436,11.6,57494657.6,34.13
All Purpose Cleaners,2019,4606388,9.68,44589835.84,17.6
All Purpose Cleaners,2018,525850,22.62,11894727,14.49
All Purpose Cleaners,2023,2556482,12.03,30754478.46,-6.73
All Purpose Cleaners,2024,2300053,15.82,36386838.46,-10.88
All Purpose Cleaners,2002,5139900,21.47,110353653,-9.58
All Purpose Cleaners,2000,6215210,22.58,140339441.8,36.77
All Purpose Cleaners,2015,1123797,16.11,18104369.67,-4.77
All Purpose Cleaners,2015,548086,17.2,9427079.2,45.72
All Purpose Cleaners,2025,6481252,22.4,145180044.8,48.74
All Purpose Cleaners,2020,3127220,18.64,58291380.8,12.94
All Purpose Cleaners,2018,2634746,1.7,4479068.2,-12.78
All Purpose Cleaners,2021,3529105,13.85,48878104.25,-26.95
All Purpose Cleaners,2010,4330598,6.8,29448066.4,12.32
All Purpose Cleaners,2014,5745371,23.27,133694783.2,-34.37
All Purpose Cleaners,2021,4738891,20.04,94967375.64,35.88
All Purpose Cleaners,2009,699110,13.94,9745593.4,2.66
All Purpose Cleaners,2025,6270501,19.72,123654279.7,-28.64
All Purpose Cleaners,2012,7815862,14.81,115752916.2,21.55
All Purpose Cleaners,2019,4088742,1.78,7277960.76,18.89
All Purpose Cleaners,2002,1469381,3.77,5539566.37,-31.11
All Purpose Cleaners,2018,2196971,5.33,11709855.43,-10.36
All Purpose Cleaners,2000,5791492,17.77,102914812.8,-45.13
All Purpose Cleaners,2003,3889450,3.36,13068552,-16.4
All Purpose Cleaners,2009,3603138,17.74,63919668.12,-37.58
All Purpose Cleaners,2024,1367808,2.34,3200670.72,-40.42
All Purpose Cleaners,2007,6371392,11.56,73653291.52,-26.75
All Purpose Cleaners,2019,5821946,2.28,13274036.88,-45.81
All Purpose Cleaners,2005,4904662,8.88,43553398.56,-8.2
All Purpose Cleaners,2000,2123327,18.68,39663748.36,16.4
All Purpose Cleaners,2008,4395390,24.69,108522179.1,-39.94
All Purpose Cleaners,2007,2647214,19.47,51541256.58,25.87
All Purpose Cleaners,2003,1694017,17.94,30390664.98,-24.79
All Purpose Cleaners,2015,6101071,8.81,53750435.51,30.08
All Purpose Cleaners,2004,7131861,23.69,168953787.1,4.78
All Purpose Cleaners,2012,1051487,24.17,25414440.79,4.89
All Purpose Cleaners,2007,189397,19.23,3642104.31,40.5
All Purpose Cleaners,2023,1750229,24.79,43388176.91,35.57
All Purpose Cleaners,2023,7325800,2.03,14871374,40.81
All Purpose Cleaners,2022,1030233,3.69,3801559.77,42.5
All Purpose Cleaners,2020,4949430,19.67,97355288.1,-0.18
All Purpose Cleaners,2000,3509312,15.16,53201169.92,10.52
All Purpose Cleaners,2005,358580,22.74,8154109.2,-11.38
All Purpose Cleaners,2012,3263061,11.34,37003111.74,1.02
All Purpose Cleaners,2001,434374,17.18,7462545.32,45.99
All Purpose Cleaners,2017,4413654,23.64,104338780.6,39.43
All Purpose Cleaners,2001,7500848,9.85,73883352.8,-46.44
All Purpose Cleaners,2004,5851088,18.79,109941943.5,-10.79
All Purpose Cleaners,2016,667256,20.3,13545296.8,-9.43
All Purpose Cleaners,2003,5558019,21.61,120108790.6,3.38
All Purpose Cleaners,2024,2345881,6.02,14122203.62,-42.7
All Purpose Cleaners,2010,3709556,19.78,73375017.68,41.88
All Purpose Cleaners,2010,3714709,12.42,46136685.78,-10.68
All Purpose Cleaners,2004,7434339,21.26,158054047.1,-9.94
All Purpose Cleaners,2009,1009341,6.7,6762584.7,18.44
All Purpose Cleaners,2004,5052033,18.9,95483423.7,8.69
All Purpose Cleaners,2000,2392179,9.63,23036683.77,33.77
All Purpose Cleaners,2013,4318660,21.9,94578654,-30.36
All Purpose Cleaners,2001,1377627,13.83,19052581.41,-5.61
All Purpose Cleaners,2022,635988,8.98,5711172.24,-41.14
All Purpose Cleaners,2025,6025101,24.86,149784010.9,-32.06
All Purpose Cleaners,2005,5599843,12.07,67590105.01,-30.09
All Purpose Cleaners,2011,4231737,16.4,69400486.8,41.91
All Purpose Cleaners,2015,3662015,6.97,25524244.55,48.2
All Purpose Cleaners,2008,3094567,9.14,28284342.38,38.97
All Purpose Cleaners,2006,1447563,5.49,7947120.87,-7.45
All Purpose Cleaners,2025,872941,1.66,1449082.06,48.95
All Purpose Cleaners,2024,383623,8.98,3444934.54,31.45
All Purpose Cleaners,2000,7530161,5.45,41039377.45,40.08
All Purpose Cleaners,2021,7508190,17.65,132519553.5,-39.35
All Purpose Cleaners,2014,3143401,10.03,31528312.03,-43.17
All Purpose Cleaners,2001,6045589,14.58,88144687.62,26.18
All Purpose Cleaners,2008,63803,2.19,139728.57,-13.23
All Purpose Cleaners,2016,3207728,22,70570016,-22.97
All Purpose Cleaners,2009,2107173,9.97,21008514.81,-5.32
All Purpose Cleaners,2023,952709,19.54,18615933.86,-33.53
All Purpose Cleaners,2007,4278628,5.15,22034934.2,33.37
All Purpose Cleaners,2001,3030185,13.03,39483310.55,33.52
All Purpose Cleaners,2014,6017163,5.96,35862291.48,34.55
All Purpose Cleaners,2008,7686492,10.67,82014869.64,3.18
All Purpose Cleaners,2017,5563424,6.01,33436178.24,20.98
All Purpose Cleaners,2008,1107590,14.52,16082206.8,15.36
All Purpose Cleaners,2006,3484857,17.56,61194088.92,-31.52
All Purpose Cleaners,2001,439388,21.2,9315025.6,49.03
All Purpose Cleaners,2015,4598854,22.03,101312753.6,-19.34
All Purpose Cleaners,2023,1368518,3.45,4721387.1,-6.63
All Purpose Cleaners,2019,2048403,12.48,25564069.44,5.07
All Purpose Cleaners,2020,813399,18.24,14836397.76,46.4
All Purpose Cleaners,2022,3042747,11.32,34443896.04,-31.63
All Purpose Cleaners,2016,3983590,2.47,9839467.3,7.12
All Purpose Cleaners,2001,7556246,12.57,94982012.22,-33.9
All Purpose Cleaners,2004,7528314,3.41,25671550.74,-26.71
All Purpose Cleaners,2003,353954,17.12,6059692.48,-22.82
All Purpose Cleaners,2025,3175785,11.67,37061410.95,-4.9
All Purpose Cleaners,2004,2173334,3.44,7476268.96,13.55
All Purpose Cleaners,2001,3726576,11.56,43079218.56,-8.84
All Purpose Cleaners,2018,4854134,6.15,29852924.1,-49.34
All Purpose Cleaners,2017,1681169,18.32,30799016.08,36.51
All Purpose Cleaners,2002,2909412,19.64,57140851.68,-40.67
All Purpose Cleaners,2019,2078055,11.26,23398899.3,-47.04
All Purpose Cleaners,2015,4195933,4.01,16825691.33,41.27
All Purpose Cleaners,2013,2456065,6.83,16774923.95,26.21
All Purpose Cleaners,2021,4647029,11.76,54649061.04,-45.86
All Purpose Cleaners,2010,3175648,21.22,67387250.56,27.28
All Purpose Cleaners,2002,2398289,23.41,56143945.49,-31.39
All Purpose Cleaners,2004,7395847,19.06,140964843.8,13.96
All Purpose Cleaners,2022,2568773,12.51,32135350.23,13.45
All Purpose Cleaners,2007,2580111,23.49,60606807.39,-12.74
All Purpose Cleaners,2023,5846984,16.96,99164848.64,9.54
All Purpose Cleaners,2025,4654493,19.9,92624410.7,-35.12
All Purpose Cleaners,2020,7964942,18.55,147749674.1,18.28
All Purpose Cleaners,2016,2332246,18.5,43146551,28.06
All Purpose Cleaners,2005,7020883,2.66,18675548.78,-28.81
All Purpose Cleaners,2000,7277773,1.5,10916659.5,-22.95
All Purpose Cleaners,2001,5577713,24.71,137825288.2,9.02
All Purpose Cleaners,2017,4427967,8.81,39010389.27,-13.51
All Purpose Cleaners,2016,2921566,11.98,35000360.68,-45.39
All Purpose Cleaners,2012,4796942,10.52,50463829.84,46
All Purpose Cleaners,2018,596013,5.36,3194629.68,8.27
All Purpose Cleaners,2005,554457,24.2,13417859.4,-31.5
All Purpose Cleaners,2020,4079345,3.1,12645969.5,28.55
All Purpose Cleaners,2000,2273759,24.45,55593407.55,34.24
All Purpose Cleaners,2002,834290,6.18,5155912.2,-46.94
All Purpose Cleaners,2008,2930491,14.04,41144093.64,-17.83
All Purpose Cleaners,2004,2157392,10.71,23105668.32,8.11
All Purpose Cleaners,2010,1742399,14.55,25351905.45,36.03
All Purpose Cleaners,2017,155957,4.11,640983.27,-5.73
All Purpose Cleaners,2023,6742783,10.64,71743211.12,23.82
All Purpose Cleaners,2020,4369409,7.12,31110192.08,-47.57
All Purpose Cleaners,2010,2309875,11.13,25708908.75,-48.31
All Purpose Cleaners,2001,5534824,8.81,48761799.44,13.3
All Purpose Cleaners,2018,6122296,15.82,96854722.72,-7.45
All Purpose Cleaners,2023,6716136,19.43,130494522.5,-45.72
All Purpose Cleaners,2014,950432,5.39,5122828.48,1.43
All Purpose Cleaners,2002,3666224,3.58,13125081.92,18.84
All Purpose Cleaners,2018,7667091,23.91,183320145.8,48.35
All Purpose Cleaners,2013,7598229,8.05,61165743.45,-29.71
All Purpose Cleaners,2013,7849029,23.48,184295200.9,-25.54
All Purpose Cleaners,2024,4882917,8.7,42481377.9,-28.38
All Purpose Cleaners,2016,3036434,7.36,22348154.24,-46.14
All Purpose Cleaners,2006,5695173,14.72,83832946.56,14.42
All Purpose Cleaners,2020,2954677,9.04,26710280.08,48.35
All Purpose Cleaners,2003,4254692,1.67,7105335.64,46.44
All Purpose Cleaners,2004,3744783,18.35,68716768.05,44.51
All Purpose Cleaners,2009,2006215,16.06,32219812.9,41.73
All Purpose Cleaners,2000,263047,4.14,1089014.58,-38.45
All Purpose Cleaners,2007,3925576,10.2,40040875.2,-13.86
All Purpose Cleaners,2018,3344295,8.55,28593722.25,43.27
All Purpose Cleaners,2001,2826686,12.43,35135706.98,-39.19
All Purpose Cleaners,2002,1575257,6.47,10191912.79,30.2
All Purpose Cleaners,2012,3642542,4.58,16682842.36,-21.15
All Purpose Cleaners,2009,734337,8.19,6014220.03,29.53
All Purpose Cleaners,2010,7657931,12.49,95647558.19,13.23
All Purpose Cleaners,2001,2881182,18.66,53762856.12,-17.1
All Purpose Cleaners,2008,3194212,6.48,20698493.76,-3.34
All Purpose Cleaners,2020,550646,19.59,10787155.14,5.93
All Purpose Cleaners,2003,5855089,8.65,50646519.85,38.99
All Purpose Cleaners,2002,5416213,12.5,67702662.5,-48.38
All Purpose Cleaners,2005,5457250,14.26,77820385,3.94
All Purpose Cleaners,2012,69317,22.13,1533985.21,-5.87
All Purpose Cleaners,2023,1483691,9.3,13798326.3,-2.38
All Purpose Cleaners,2024,3480372,21.14,73575064.08,40.32
All Purpose Cleaners,2003,4677777,6.62,30966883.74,-9.58
All Purpose Cleaners,2020,2921955,12.61,36845852.55,-34.24
All Purpose Cleaners,2007,3493691,6.94,24246215.54,27.71
All Purpose Cleaners,2018,6423160,24.17,155247777.2,13.74
All Purpose Cleaners,2007,6823289,23.22,158436770.6,-40.54
All Purpose Cleaners,2003,5652906,9.13,51611031.78,29.48
All Purpose Cleaners,2013,168839,5.16,871209.24,24.27
All Purpose Cleaners,2008,5281182,3.09,16318852.38,37.18
All Purpose Cleaners,2011,521624,6.48,3380123.52,9.63
All Purpose Cleaners,2015,4900412,24.44,119766069.3,14.04
All Purpose Cleaners,2023,2279465,20.27,46204755.55,32.67
All Purpose Cleaners,2000,6972224,22.67,158060318.1,40.44
All Purpose Cleaners,2020,1519080,12.72,19322697.6,-44.51
All Purpose Cleaners,2025,3502973,10.83,37937197.59,-43.25
All Purpose Cleaners,2009,4948968,18.63,92199273.84,-7.7
All Purpose Cleaners,2000,1729467,13.66,23624519.22,-21.68
All Purpose Cleaners,2017,2518454,12.36,31128091.44,-19.49
All Purpose Cleaners,2004,3256320,11.72,38164070.4,49.93
All Purpose Cleaners,2023,1820187,9.91,18038053.17,22.53
All Purpose Cleaners,2012,2431373,5.46,13275296.58,36.39
All Purpose Cleaners,2010,4219562,11.04,46583964.48,-27.2
All Purpose Cleaners,2018,5750112,4.42,25415495.04,0.91
All Purpose Cleaners,2006,669735,6.37,4266211.95,-23.95
All Purpose Cleaners,2022,2312241,6.17,14266526.97,22.01
All Purpose Cleaners,2024,785566,11.97,9403225.02,29
All Purpose Cleaners,2014,6502800,6.1,39667080,47.37
All Purpose Cleaners,2005,2471817,20.85,51537384.45,-33.96
All Purpose Cleaners,2006,143792,12.06,1734131.52,-14.3
All Purpose Cleaners,2000,5854234,23.14,135466974.8,-40.91
All Purpose Cleaners,2022,4232742,24.59,104083125.8,25.21
All Purpose Cleaners,2006,5384552,2.23,12007550.96,20.63
All Purpose Cleaners,2000,4929352,20.32,100164432.6,-19.45
All Purpose Cleaners,2010,4081423,24.87,101504990,7.17
All Purpose Cleaners,2007,3015802,2.45,7388714.9,31.31
All Purpose Cleaners,2004,6916296,17.02,117715357.9,-10.07
All Purpose Cleaners,2012,3746302,24.56,92009177.12,-44.38
All Purpose Cleaners,2010,2944188,19.51,57441107.88,21.07
All Purpose Cleaners,2006,1113950,15.84,17644968,23.7
All Purpose Cleaners,2015,2444269,17.47,42701379.43,0.66
All Purpose Cleaners,2017,203846,22.63,4613034.98,-46.69
All Purpose Cleaners,2009,2259007,3.28,7409542.96,5.95
All Purpose Cleaners,2013,2099075,13.66,28673364.5,-24.75
All Purpose Cleaners,2004,3207495,19.43,62321627.85,-30.76
All Purpose Cleaners,2017,3434115,13.4,46017141,7.35
All Purpose Cleaners,2000,2134854,17.23,36783534.42,46.99
All Purpose Cleaners,2025,3283893,12.99,42657770.07,27.5
All Purpose Cleaners,2012,5580752,9.22,51454533.44,-5.37
All Purpose Cleaners,2025,1344414,22.89,30773636.46,-17.08
All Purpose Cleaners,2024,6390044,2.56,16358512.64,49.64
All Purpose Cleaners,2013,7097817,12,85173804,16.57
All Purpose Cleaners,2008,6532981,15.57,101718514.2,49.42
All Purpose Cleaners,2002,7222564,17.24,124517003.4,47.94
All Purpose Cleaners,2012,7286292,23.33,169989192.4,-24.42
All Purpose Cleaners,2016,2013781,10.26,20661393.06,7.33
All Purpose Cleaners,2003,2605524,11.76,30640962.24,35.34
All Purpose Cleaners,2017,6584250,3.55,23374087.5,-26.55
All Purpose Cleaners,2016,850758,20.47,17415016.26,43.45
All Purpose Cleaners,2007,1018563,23.47,23905673.61,18.97
All Purpose Cleaners,2016,678457,1.87,1268714.59,37.86
All Purpose Cleaners,2023,6925294,2.64,18282776.16,-33.95
All Purpose Cleaners,2023,3766417,22.89,86213285.13,-6.52
All Purpose Cleaners,2022,3861184,12.59,48612306.56,-30.86
All Purpose Cleaners,2005,744723,7.73,5756708.79,2.4
Aluminum Foil,2014,2544348,17.46,44424316.08,-22.19
Aluminum Foil,2022,5473741,13.98,76522899.18,-4.86
Aluminum Foil,2005,6131890,20.37,124906599.3,21.29
Aluminum Foil,2004,3683900,17.02,62699978,-36.45
Aluminum Foil,2004,1954370,15.65,30585890.5,-15.4
Aluminum Foil,2025,3017431,9.29,28031933.99,34.98
Aluminum Foil,2013,4273527,9.25,39530124.75,-41.94
Aluminum Foil,2019,579585,6.13,3552856.05,-26.27
Aluminum Foil,2011,4311011,1.66,7156278.26,21.19
Aluminum Foil,2012,2553468,22.6,57708376.8,-16.14
Aluminum Foil,2003,4100320,24.91,102138971.2,-45.55
Aluminum Foil,2023,7227644,23.89,172668415.2,-39.17
Aluminum Foil,2001,5650715,10.87,61423272.05,42.65
Aluminum Foil,2020,1130945,13.05,14758832.25,-36.2
Aluminum Foil,2007,7096945,7.14,50672187.3,-41.2
Aluminum Foil,2013,2357505,5.45,12848402.25,45.24
Aluminum Foil,2011,1662689,22.12,36778680.68,-23.52
Aluminum Foil,2001,4949736,6.68,33064236.48,15.38
Aluminum Foil,2000,6674712,9.65,64410970.8,6.27
Aluminum Foil,2003,4192563,24.87,104269041.8,40.88
Aluminum Foil,2019,683349,16.59,11336759.91,44.07
Aluminum Foil,2007,6299736,10.51,66210225.36,-13.93
Aluminum Foil,2012,7864043,11.87,93346190.41,5.41
Aluminum Foil,2007,6575304,17.58,115593844.3,18.67
Aluminum Foil,2010,1840347,7.93,14593951.71,-46.59
Aluminum Foil,2018,1467513,8.54,12532561.02,46.18
Aluminum Foil,2024,296412,19.5,5780034,-37.7
Aluminum Foil,2016,386175,8.02,3097123.5,-16.53
Aluminum Foil,2006,3962589,7.57,29996798.73,43.41
Aluminum Foil,2017,7392604,5.15,38071910.6,18.48
Aluminum Foil,2017,7904368,13.95,110265933.6,7.91
Aluminum Foil,2008,3577651,13.53,48405618.03,-26.68
Aluminum Foil,2024,5437578,17.12,93091335.36,27.38
Aluminum Foil,2003,2032880,6.21,12624184.8,-5.56
Aluminum Foil,2022,547056,19.46,10645709.76,10.33
Aluminum Foil,2008,7829078,7.12,55743035.36,25.01
Aluminum Foil,2002,3185484,15.87,50553631.08,-23.51
Aluminum Foil,2001,1688047,10.26,17319362.22,28.66
Aluminum Foil,2001,6606636,21.32,140853479.5,36.85
Aluminum Foil,2005,7346821,23.17,170225842.6,-26.95
Aluminum Foil,2018,5330669,10.87,57944372.03,10.5
Aluminum Foil,2010,6518694,7.92,51628056.48,12.38
Aluminum Foil,2017,6576493,4.29,28213154.97,0.03
Aluminum Foil,2010,990528,4.42,4378133.76,18.26
Aluminum Foil,2000,4266310,24.13,102946060.3,20.95
Aluminum Foil,2025,886977,12.18,10803379.86,-43.89
Aluminum Foil,2010,5233244,9.06,47413190.64,46.16
Aluminum Foil,2007,7801459,7.69,59993219.71,-32.34
Aluminum Foil,2016,4514379,3.2,14446012.8,-34
Aluminum Foil,2017,7211353,3.74,26970460.22,-38.8
Aluminum Foil,2001,4285825,18.57,79587770.25,18.4
Aluminum Foil,2008,577945,2.18,1259920.1,24.12
Aluminum Foil,2005,4708636,18.6,87580629.6,-23.68
Aluminum Foil,2024,3756377,4.23,15889474.71,12.46
Aluminum Foil,2020,7745746,24.46,189460947.2,-17.86
Aluminum Foil,2015,3902867,11.44,44648798.48,-21.59
Aluminum Foil,2024,1713939,7.29,12494615.31,-34.97
Aluminum Foil,2022,5538660,2.12,11741959.2,-2.9
Aluminum Foil,2003,7441001,8.3,61760308.3,-37.53
Aluminum Foil,2025,1036681,15.68,16255158.08,34.56
Aluminum Foil,2005,2741434,5.17,14173213.78,3.19
Aluminum Foil,2025,1544640,4.84,7476057.6,-6.3
Aluminum Foil,2008,7689252,19.03,146326465.6,-38.94
Aluminum Foil,2024,4635857,18.77,87015035.89,-15.64
Aluminum Foil,2014,7094883,24.68,175101712.4,29.82
Aluminum Foil,2004,5513846,4.07,22441353.22,5.41
Aluminum Foil,2022,1243825,16.12,20050459,39.45
Aluminum Foil,2018,503754,1.69,851344.26,0.17
Aluminum Foil,2003,1593559,2.33,3712992.47,-9.07
Aluminum Foil,2017,6729803,24.58,165418557.7,-26.14
Aluminum Foil,2022,3686506,9.3,34284505.8,17.45
Aluminum Foil,2004,2054840,2.41,4952164.4,36.4
Aluminum Foil,2019,443087,16.59,7350813.33,23.28
Aluminum Foil,2013,5865470,15.78,92557116.6,18.27
Aluminum Foil,2006,287031,10.34,2967900.54,-8.45
Aluminum Foil,2012,6819360,18.17,123907771.2,-30.71
Aluminum Foil,2025,7595646,19.95,151533137.7,20.74
Aluminum Foil,2019,2937444,4.47,13130374.68,-16.29
